 gemir ( VERB_INFINITIVE VERB ) 
 Gambia ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gamboa ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gandhi ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Ganges ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Ganviracio ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Garantías ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 García ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gardner ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Garrod ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Garros ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gary ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gaspar ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gasset ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gastos ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gastón ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gatia ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gatí ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) lemma=Gatita 
 Gatita ( ) 
 Gavino ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gayta ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gbytes ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gen-Probe ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Genaro ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Generalitat ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Genie ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Genética ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 George ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Georgia ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Georgia-Pacific ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Georgina ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Geraldina ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Geraldine ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gerardo ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gerd ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gerente ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Germino ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Germán ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gerona ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gfrörer ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) lemma=Gfröer 
 Gfröer ( ) 
 Ghana ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gibraltar ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Giemsa ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gifford ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gigante ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gijón ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gil ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gilberto ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gillette ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Giménez ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gina ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Ginebra ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gini ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Giorgio ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Girard ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Girón ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gitano ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Giuseppe ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gladys ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Glasgow ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Glenn ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gliclazida ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Glicosilaciones ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gloria ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Glu ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Glu-Leu-Arg ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Glu-Val ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gobernador ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gobierno ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gobiernos ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Goldberger ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Golenbock ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Golgi ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gonzalitos ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) lemma=Gonzalo 
 Gonzalo ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 González ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Goodpasture ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gopher ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gorbachov ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gorostiaga ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gorski ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Goyín ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Graaf ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gracias ( PREPOSITION ) 
 Graciela ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gramm-Rudman ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Granada ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Granadinas ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Granollers ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Grecia ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Greenpeace ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Greenspan ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Greg ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gregor ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gregorio ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Greider ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Griffith ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Groenlandia ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Groupware ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Grove ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Grulla ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Grundner ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guadalajara ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guadalupe ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guadiaro-Majaceite ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gual ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guam ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guanajuato ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guantánamo ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guaraná ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guate ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) lemma=Guatemala 
 Guatemala ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guayana ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guayaquil ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guega ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guerrero ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guido ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guillemin ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guillermo ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guinea ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guiot ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gunilla ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gustavo ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gutheil ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gutiérrez ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guttman ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guy ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guyana ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guzmán ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Guía ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 GÉNTEX ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) lemma=GÉNTEX 
 Gálibo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Gálvez ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Géminis ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Génesis ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Génova ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 Gómez ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) 
 gabardina ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gabaérgico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gabinete ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gabonesa ( NOUN NOUN_PROPER_SINGULAR NOUN_PROPER_PLURAL ) lemma=gabonés 
 gabonés ( ) 
 gabán ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gaceta ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gacetilla ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gaceta 
 gacha ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gacho 
 gacho ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gachas ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gacho 
 gaditana ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=gaditano 
 gaditano ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=gaditano 
 gafados ( VERB_PAST_PARTICIPLE VERB ) lemma=gafar 
 gafar ( ) 
 gafas ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`gafas`gafar` NC  VLfin 
 gag ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gaitas ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gaita 
 gaita ( ) 
 gala ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=`galo`gala` ADJ  NC 
 galactocerebrósido ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 galactorrea ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 galactosa ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=galactoso 
 galactoso ( ) 
 galactosa-ácido ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 galactosamina ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 galactosas ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=galactosa 
 galactosemia ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 galanes ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=galán 
 galán ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 galante ( ADJECTIVE ADJECTIVE_NORMAL ) 
 galantear ( VERB_INFINITIVE VERB ) 
 galardonada ( VERB_PAST_PARTICIPLE VERB ) lemma=galardonar 
 galardonar ( VERB_INFINITIVE VERB ) 
 galardonados ( VERB_PAST_PARTICIPLE VERB ) lemma=galardonar 
 galardones ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`galardón`galardonar` NC  VLfin 
 galardón ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 galas ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=`galo`gala` ADJ  NC 
 galaxia ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 galenista ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 galera ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 galería ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 galesa ( NOUN ADJECTIVE ADJECTIVE_NORMAL SPANISH_SHE SPANISH_SINGULAR NOUN_SINGULAR NOUN_PLURAL ) lemma=galés 
 galés ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=galés 
 galeses ( NOUN ADJECTIVE ADJECTIVE_NORMAL SPANISH_HE SPANISH_SINGULAR NOUN_SINGULAR NOUN_PLURAL ) lemma=galés 
 galeón ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 galgo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 galio ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gallardo ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gallega ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=gallego 
 gallego ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=gallego 
 gallegas ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=gallego 
 gallegos ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=gallego 
 galleta ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gallina ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gallinero ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gallo ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`gallo`gallar` NC  VLfin 
 galo ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=galo 
 galones ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=galón 
 galón ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 galope ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 galos ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=galo 
 galvanizada ( VERB_PAST_PARTICIPLE VERB ) lemma=galvanizar 
 galvanizar ( VERB_INFINITIVE VERB ) 
 galvanómetro ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 galvánicamente ( ADVERB ) lemma=galvánico 
 galvánico ( ) 
 galvánicos ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=galvánico 
 galénica ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=galénico 
 galénico ( ) 
 gama ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gamba ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gambiense ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gameto ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gametocitos ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gametocito 
 gametocito ( ) 
 gametofito ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gametogénesis ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gamma ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gamma-amino ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gamma-tubulina ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gammacámara ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gammaglobulinas ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gammaglobulina 
 gammaglobulina ( ) 
 gammagrafía ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gammagráfico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gammapatías ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gammapatía 
 gammapatía ( ) 
 gammágrafo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 ganar ( VERB_INFINITIVE VERB ) 
 ganada ( VERB_PAST_PARTICIPLE VERB ) lemma=ganar 
 ganadas ( VERB_PAST_PARTICIPLE VERB ) lemma=ganar 
 ganadera ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=ganadero 
 ganadero ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=ganadero 
 ganaderas ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=ganadero 
 ganaderos ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=ganadero 
 ganadería ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 ganado ( VERB_PAST_PARTICIPLE NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`ganado`ganar` NC  VLadj 
 ganador ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 ganadora ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=ganador 
 ganadoras ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=ganador 
 ganados ( VERB_PAST_PARTICIPLE NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`ganado`ganar` NC  VLadj 
 ganancia ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 ganancial ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gananciales ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=ganancial 
 ganando ( NOUN NOUN_GERUND ) lemma=ganar 
 ganarla (                 VERB ) lemma=ganar 
 ganarle (                 VERB ) lemma=ganar 
 ganarles (                 VERB ) lemma=ganar 
 ganarlo (                 VERB ) lemma=ganar 
 ganarme (                 VERB ) lemma=ganar 
 ganarnos (                 VERB ) lemma=ganar 
 ganarse ( VERB_INFINITIVE VERB ) 
 ganarte (                 VERB ) lemma=ganar 
 ganas ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`gana`ganar` NC  VLfin 
 ganasé ( VERB ) lemma=ganar 
 ganasen ( VERB ) lemma=ganar 
 gancho ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 ganemos ( VERB_PRESENT PRONOUN_SUBJECT VERB PRONOUN_I PRONOUN_PLURAL ) lemma=ganar 
 ganen ( VERB_PRESENT PRONOUN_SUBJECT VERB PRONOUN_I PRONOUN_PLURAL ) lemma=ganar 
 ganes ( VERB ) lemma=ganar 
 ganga ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 ganglio ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 ganglionar ( ADJECTIVE ADJECTIVE_NORMAL ) 
 ganglionares ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=ganglionar 
 gangliósido ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gangrena ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`gangrena`gangrenar` NC  VLfin 
 gangrenan ( VERB ) lemma=gangrenar 
 gangrenar ( ) 
 gangrenando ( NOUN NOUN_GERUND ) lemma=gangrenar 
 gangrenosa ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gangrenoso 
 gangrenoso ( ) 
 gansito ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=ganso 
 ganso ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 ganándolo ( VERB_PAST_PARTICIPLE VERB ) lemma=ganar 
 ganársela (                 VERB ) lemma=ganarse 
 ganéis ( VERB_PRESENT PRONOUN_SUBJECT VERB PRONOUN_YOU PRONOUN_PLURAL ) lemma=ganar 
 garabatos ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=garabato 
 garabato ( ) 
 garage ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 garaje ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 garante ( VERB ) lemma=garantir 
 garantir ( ) 
 garantes ( VERB ) lemma=garantir 
 garantice ( VERB ) lemma=garantizar 
 garantizar ( VERB_INFINITIVE VERB ) 
 garanticemos ( VERB ) lemma=garantizar 
 garanticen ( VERB ) lemma=garantizar 
 garanticémosle ( VERB ) lemma=garantizar 
 garantidos ( VERB_PAST_PARTICIPLE VERB ) lemma=garantir 
 garantizada ( VERB_PAST_PARTICIPLE VERB ) lemma=garantizar 
 garantizadas ( VERB_PAST_PARTICIPLE VERB ) lemma=garantizar 
 garantizados ( VERB_PAST_PARTICIPLE VERB ) lemma=garantizar 
 garantizando ( NOUN NOUN_GERUND ) lemma=garantizar 
 garantizaren ( VERB ) lemma=garantizar 
 garantizarla (                 VERB ) lemma=garantizar 
 garantizarle (                 VERB ) lemma=garantizar 
 garantizarles (                 VERB ) lemma=garantizar 
 garantizarlo (                 VERB ) lemma=garantizar 
 garantizarlos (                 VERB ) lemma=garantizar 
 garantizarme (                 VERB ) lemma=garantizar 
 garantizarnos (                 VERB ) lemma=garantizar 
 garantizarse ( VERB_INFINITIVE VERB ) 
 garantizase ( VERB ) lemma=garantizar 
 garantizasen ( VERB ) lemma=garantizar 
 garantizándolas ( NOUN NOUN_GERUND ) lemma=garantizar 
 garantizándoles ( NOUN NOUN_GERUND ) lemma=garantizar 
 garantizándolo ( NOUN NOUN_GERUND ) lemma=garantizar 
 garantizándose ( NOUN NOUN_GERUND ) lemma=garantizarse 
 garantizándosele ( NOUN NOUN_GERUND ) lemma=garantizarse 
 garantizáramos ( VERB ) lemma=garantizar 
 garantizárnoslo ( VERB ) lemma=garantizar 
 garantizársele (                 VERB ) lemma=garantizarse 
 garantía ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 garantías ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`garantía`garantir` NC  VLfin 
 garbancito ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=garbanzo 
 garbanzo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
