##<<FRENCH
concept: ~numberoperator()
"médicaments sur ordonnance" "médicaments en vente libre"
"bobine de stator" "bobine du rotor"
"navire de surface" "navire de guerre submersible"
internalité extériorité
mondanités "le autre monde"
introversion extraversion
"le ambivalence" extraversion
"le ambivalence" introversion
"émotion sans douleur" émotivité
désintéressement gaieté
inactivité activité
"le inadmissibilité" permissivité
"la nature physique" "bonne nature"
impatience abstention
désagréable "le agrément"
franchement acuité
involontairement volonté
"la frivolité" "le esprit sérieux"
"manque de communication" communication
"le unicité" sociabilité
"le secret" nudité
"le hostilité" "la convivialité"
inaccessibilité accessibilité
"le indifférence" sympathie
"un voisinage" "bon voisinage"
inhospitalité hospitalité
inadaptation adaptabilité
rigidité flexibilité
inconscience prévenance
inattention attention
négligence soin
"manque de conscience" "pleine conscience"
imprudence prudence
"le ennui" prudence
"la féminité" masculinité
"manque de confiance" fiabilité
irresponsabilité responsabilité
indépendant "la fiabilité"
inconscience conscience
déshumidification poilité
"la laideur" beauté
désagréments plaisanterie
"manque de attrait" attraction
"le opacité" uncloudedness
indistinctance distinction
stupidité acuité
discrétion visibilité
"le intransigeance" "le intrusion"
difficulté simplicité
effort "effort sans effort"
incompatibilité compatibilité
incongruité congruence
insaisissable convenance
inadéquation "la pertinence"
malheur bonheur
inapposité apposité
inaptitude adaptation
inadmissibilité admissibilité
insécurité "le assurabilité"
inconvénient commodité
inopérité opportunité
inaccessibilité accessibilité
infériorité "haute qualité"
"le irrégularité" "changement de situation"
irréversibilité réversibilité
constance "changement de situation"
invariabilité "la variabilité"
"le incapacité" "la variabilité"
"le interchangeabilité" "le interchangeabilité"
inconvertibilité convertibilité
immutabilité mutabilité
"le inaltérabilité" modification
différence similitude
dissemblance similarité
dissimilitude similitude
"non uniformité" uniformité
hétérogénéité homogénéité
incohérence cohérence
inégalité égalité
"aucune équivalence" équivalence
inégalités uniformité
"la précarité" "conclusion inévitable"
inconclusivité conclusion
imprévisibilité "la prévisibilité"
"le improbabilité" probabilité
"peu probable" probabilité
contrefactualité "la facturation"
abstraction concret
intangibilité tangibilité
"le incorporéité" physique
insubstantialité substantiel
irréalité réalité
généralité "la particularité"
"point en commun" individualité
complexité simplicité
irrégularité régularité
variabilité invariabilité
déséquilibre stabilité
immobilité mobilité
"le immotilité" motilité
"le inconvénient" mobilité
étanchéité relâchement
stableness insalubres
relâchement "la sécurité"
désagréable charme
méchanceté "la gentillesse"
incrédibilité "la crédibilité"
implausibilité plausibilité
"le illogisme" "la logique"
"le anormalité" naturel
affectation simplicité
prétention modestie
insalubrité salubrité
"le insalubrité" santé
insalubrité "la salubrité"
insatisfaction satisfaction
inadéquation adéquation
"le inacceptable" acceptabilité
inadmissibilité "la recevabilité"
inadmissibilité permissibilité
extraordinaire banalité
imprévoyance "le attente"
uncommonness "le aspect commun"
insolité "le habitude"
"manque de connaissance" familiarité
nativité "le étrangeté"
"non originalité" originalité
orthodoxie "peu orthodoxe"
convention "la non-conventionnalité"
"le incorrection" "la justesse"
inexactitude précision
inexactitude exactitude
"le imprécision" précision
faillibilité infaillibilité
"le erreur" inerrance
indignité "la dignité"
impopularité popularité
illégalité légalité
"le illégalité" régularité
illégitimité légitimité
illicite licences
inélégance élégance
insipide "le bon goût"
urbanité rusticité
incompréhensibilité compréhensibilité
"le illégalité" lisibilité
"le inintelligibilité" intelligibilité
"le incertitude" pellucidité
"la reconduitité" pellucidité
"ambiguïté lexicale" monosemie
équivoque "le équivoque"
inexplicabilité explicitation
"le injustice" droiture
impie piété
impudicité sainteté
"le inhumanité" humanité
"la miséricorde" clémence
avarice généreuse
"le illibéralité" libéralité
égoïsme désintéressement
"le égocentrisme" désintéressement
injustice justice
"la méchanceté" "la gentillesse"
malfaisance bienfaisance
malignité grâce
inconséquence "prise en compte"
tactlessness "le tact"
insensibilité sensibilité
insaisissabilité perspicacité
immoralité moralité
inexactitude justesse
malveillance "la bonté"
"le injustice" justice
"le illicéité" droit
incorruptibilité corruptibilité
"le incorruptance" corruption
"le impuissance" "la sanctitude"
dangerosité sécurité
incurablesse curabilité
"la lâcheté" courage
faiblesse "la joie"
"la peur" intrépidité
timoressité résistance
gutlessness impitoyable
"le irrévérence" "fermeté de but"
indécision "la détermination"
"manque de sincérité" "la sincérité"
déshabilleur "le honneur"
déshonorer honneur
"le absence de scrupule" scrupules
"manque de sensibilité" respectabilité
malhonnêteté honnêteté
mensonge véracité
fausseté véracité
"la faiblesse" "le ingénuité"
ruse "le inégalité"
"le infidélité" fidélité
déloyauté véracité
naïveté sophistication
indiscipline "la discipline"
liberté retenue
intempérance tempérance
humilité "la vanité"
"la bêtise" "la sagesse"
imprudence prudence
myopie providence
méfiance "la confiance"
malpropreté propreté
désordre propreté
irrégularité "la correction"
indecorousness décorousness
"le inexactitude politique" "la correction politique"
"le inconvénient" bienséance
"le avarice" devenir
indécence décence
indécence "la modestie"
décomposition équanimité
intractabilité traçabilité
sauvagerie domestication
désobéissance obéissance
insubordination subordination
"le informalité" formalisme
"sans cérémonie" cérémonie
incivilité "bonnes manières"
impolitesse politesse
"la misère" grâce
incivilité civilité
anisotropie isotropie
indirecte rectitude
médiation immédiateté
nouveauté vieillesse
"manque de fraîcheur" fraîcheur
"la jeunesse" vieillesse
"calcul réduit des calculs de instructions" "calcul complexe de calcul de instructions"
minceur épaisseur
douceur dureté
incompétence compressibilité
unbreakableness fragilité
"la solidité" "la porosité"
"le imperméabilité" "la perméabilité"
impénétrabilité pénétrabilité
"non absorbabilité" absorbance
déchiquetage douceur
platitude luminosité
"la couleur sans couleur" coloration
"couleur achromatique" "couleur chromatique"
blancheur noirceur
dépigmentation pigmentation
obscurité légèreté
silence "du son"
dissonance harmonie
"basse fréquence" "haute fréquence"
douceur intensité
"la marginalité" palatableness
"peu appétissante" appétissants
indigestibilité digestibilité
"le encombrement" avoirdupois
shortness hauteur
maladresse grâce
inanimité "le animation"
"le inséance" sentience
féminité masculinité
"haute température" "basse température"
imperceptibilité perceptibilité
invisibilité visibilité
inaudibilité audibleness
inélasticité élasticité
unmalleability malléabilité
inflexibilité flexibilité
apesanteur lourdeur
"la faiblesse" force
"partie faible" "bonne partie"
désordre solidité
vulnérabilité invulnérabilité
alcalinité acidité
indestructibilité destructibilité
retard précocité
"la subséquence" antécédence
lenteur ponctualité
"caractère abusif" "caractère saisonnier"
présentation "le passé"
avenir "le passé"
présentation avenir
shortness longévité
impermanence "la permanence"
immortalité mortalité
dissymétrie symétrie
"asymétrie radiale" "symétrie radiale"
progressivité précipitation
rondeur angularité
impuissance pointillisme
excentricité concentricité
"la tortue" rectitude
rectitude contrainte
marginalité centralité
"la posteriorité" antériorité
"le intériorité" extériorité
"la méridion" nordique
proximité "la distance"
concentration distribution
"caractère superficiel" profondeur
faible haute
finesse épaisseur
petitesse largeur
"la négativité" positivité
décrémentation incrément
insuffisance suffisance
rareté copiosité
immoderateness modération
minorité majorité
"manque de profondeur" profondeur
étroitesse largeur
modicité hauteur
inutilité vaut
démérite vertu
indésirabilité désirabilité
méchanceté "la bonté"
peine avantage
"peu coûteux" expensivité
infructueuse fécondité
stérilité productivité
inutilité utilité
"manque de réalisme" pratique
impraticabilité praticabilité
infaillibilité faisabilité
incompétence compétence
responsabilité atout
désavantage avantage
"le indifférence" rentabilité
impétuosité opportunité
"point faible" "point fort"
inconvénient opportunité
déconfiguration avantage
inauspiciousness "la générosité"
destructivité constructivité
"sans importance" importance
insignifiance importance
"le absence de sens" "la signification"
"le absence de raison" "sens du but"
"en conséquence" conséquence
inessentialité "le essentiel"
dispensabilité indispensableité
impuissance puissance
"le impassibilité" "force de persuasion"
désintéressement intérêt
inefficacité efficacité
inefficacité efficacité
incapacité capacité
incapacité capacité
incapacité capacité
limite "la non-conformité"
insolubilité solubilité
pessimisme optimisme
"manque de sensibilité" réactivité
"non solvabilité" solvabilité
"muscle fléchisseur" "muscle extenseur"
"récepteur sensoriel" effecteur
moelle cortex
imprudence "la sagesse"
stupidité intelligence
inaptitude aptitude
incapacité "capacité mentale"
incapacité potentialité
imperfectibilité perfectibilité
"la non-créativité" "la pensée créative"
"région infernale" paradis
analphabétisme "le alphabétisation"
insouciance habileté
incoordination coordination
"la disfluence" aisance
inefficacité efficacité
kinanesthesia "sens du mouvement"
"système de gâches" "système de mérite"
inconscience conscience
incognisance conscience
inconscience "conscience de soi"
insensibilité sensibilité
"en train de dormir" veille
doute certitude
inattention attention
inattention "prêter attention"
inexpérience expérience
"la pensée synthétique" "la pensée analytique"
"la pensée hors-la-boîte" "la pensée convergente"
incompréhension compréhension
général particulier
"idée fausse" conception
antitype type
divergence convergence
milieu début
fin début
fin milieu
"principe de la réalité" "principe de plaisir-déplaisir"
yin yang
sol figure
incrédulité croyance
cataphatisme "le apophatisme"
"doctrine de le analogie" "le apophatisme"
"doctrine de le analogie" cataphatisme
imitation formalisme
nationalisme internationalisme
pluralisme monisme
nationalisme multiculturalisme
héréditaire environnementalisme
"le illumination" éclaircissement
"interval le illimité"  "intervalle borné"
cacogénie eugénisme
"théorie holistique" "théorie atomique"
"théorie corpusculaire de la lumière" "théorie de le onde de la lumière"
"mouvement romantique" "le classicisme"
"linguistique prescriptive" "linguistique descriptive"
athanésisme arianisme
"non partisan" "esprit de parti"
"le impartialité" injustice
intolérance tolérance
"étroitesse de esprit" "le esprit large"
"manque de respect" "le respect"
irrévérence révérence
non-conformité conformité
hawkishness "la douceur"
théisme "le impudicité"
polythéisme monothéisme
verso recto
"courrier électronique" "courrier postal"
"mot équivalent" "mot opposé"
"forme singulière" "forme pluriel"
"cas oblique" "cas nominatif"
"fausse interprétation" "construction grammaticale"
"nom commun" "nom propre"
flash-forward "retour en arrière"
"édition de texte" "édition commerciale"
"programme source" "programme de objet"
dysphémisme euphémisme
"courrier de surface" "courrier aérien"
inhospitalité "accueil cordial"
con pro
non-intervention intervention
désapprobation recommandation
désapprobation approbation
découragement encouragement
mensonge "déclaration réelle"
"preuve circonstancielle" "preuve directe"
"proposition universelle" "proposition particulière"
syncategoreme catégorisation
euphémisme exagération
contre-indication indication
"chiffre romain" "chiffre hindou-arabe"
indice exposé
"lettre minuscule" "lettre majuscule"
"police proportionnelle" "police à largeur constante"
"police de style ancien" "police moderne"
atonalité tonalité
"langue naturelle" "langage artificiel"
"langage unidimensionnel" "langue multidimensionnelle"
"langue non-étatique" "langage stratifié"
"la tragédie" comédie
"musique polyphonique" "musique monophonique"
résolution préparation
diminution augmentation
"la verbosité" laconisme
consonne voyelle
"consonne continue" "le son de la parole plueuse"
"discours direct" "discours indirect"
désaccord accord
répondre interrogatoire
négatif affirmative
non oui
non oui
dissuasion persuasion
conclusion début
débarquement embarras
succès échec
décès nativité
immersion émersion
chute augmenter
augmenter diminution
lévitation gravitation
ascension tomber
"eau basse" "haute eau"
"marée montante" ebbtide
springtide "marée du naufrage"
déclin fartage
auto-fertilisation "fertilisation croisée"
autogamie allogamie
auto-pollinisation "pollinisation croisée"
"rotation antihoraire" "rotation horaire"
léchage "la victoire"
anaphrodisia aphrodisia
douleur plaisance
"ne pas aimer" "le goût"
désintégration inclination
désapprobation approbation
anglophobie anglophilie
"le misogyme" philogynie
ingratitude reconnaissance
insouciance préoccupation
humilité "le orgueil"
solennité légèreté
calme agitation
confiance "le auto-méfiance"
"le malheur" bonheur
chagrin joie
dysphorie euphorie
"la discordance" contentement
insatisfaction "la satisfaction"
désespoir espérer
désespoir espoir
amour haine
malveillance bienveillance
"mauvaise humeur" "bonne humeur"
"pomme de cuisson" "dessert pomme"
"lait entier" "lait écrémé"
"vin varié" "vin générique"
jeune vieux
prudent courageux
vivant mort
"non initié" éclairé
végétation zoologie
poursuite "avocats de la défense"
"équipe de défense" infraction
temporelle "le clergé"
"les gens riches" "les pauvres"
"matrice singulière" "matrice non singulière"
"non alignement" coalition
"économie socialiste" "économie capitaliste"
"économie non marchande" "le économie du laissez-faire"
hostile amical
internat "école de jour"
"école de nuit" "école de jour"
"la loi internationale" "droit civil"
arrière tête
là ici
antapex "sommet du soleil"
périgée apogée
"point de périapsis" "point de apoapsis"
"la périhélie" aphelion
perijove apojove
periselène aposélène
"nœud descendant" "nœud ascendant"
antinode nœud
tête pied
arrière "le extrémité avant"
extérieur intérieur
"au vent" "lee côté"
"le minimum" maximum
zénith nadir
"la gauche" droite
"de face" arrière
"zone peuplée" "zone rurale"
"état libre" "état esclave"
dissuasif incitation
"le expérience" "le accessibilité"
déclinaison montée
"chaîne ouverte" "chaîne fermée"
affluent distributaire
plaine montagnes
"eaux territoriales" "eaux internationales"
exigence "non essentiel"
"élévation naturelle" "dépression naturelle"
"bon esprit" cacodaemon
juvénile adulte
libérateur capteur
"personne masculine" "personne féminine"
disciple chef
"personne religieuse" "personne non-religieuse"
ouvrier non-travailleur
buveur non-drogué
plaignant défendeur
"une personne infructueuse" successer
étranger connaissance
agoniste antagoniste
ennemi ami
professionnel amateur
descendant antécédent
oncle tata
"bon œuf" "mauvais oeuf"
"bon gars" "mauvais garçon"
"bonne personne" "mauvaise personne"
taureau ours
prêteur emprunteur
sœur "frère de sang"
parent enfant
"non citoyen" citoyen
"personnel militaire" civil
romantique classiciste
laïc "homme du tissu"
progressive conservateur
non-conformiste conformiste
anglican non-conformiste
débiteur créancier
fils fille
"faucon de guerre" peacenik
"volontaire militaire" conscrit
nondriver chauffeur
élitiste égalitaire
"personne émotive" "personne émotive"
employeur employé
témoigner "témoin expert"
introverti extraverti
"parent féminin" "parent homme"
"peau et os" "grosse personne"
"aristocrate masculin" "aristocrate féminin"
"progéniture masculine" "progéniture féminine"
"frère ou sœur masculin" fratrie
"enfant masculin" "enfant féminin"
titulaire certificat
"héritier présomptif" "héritier apparent"
"femme mariée" "homme marié"
superordonné inférieur
ambulatoire hospitalisation
"monarque féminine" "monarque masculin"
noble noble
"bon tireur" prévaricateur
nécessitarien libertaire
"nourrisson mort-né" "nourrisson né vivant"
gagnant perdant
gagnant "aussi couru"
diviseur "ouvrier du bâtiment"
"femme adulte" "homme adulte"
femme homme
sadique masochiste
"non membre" collègue
nièce neveu
drumbeater impartial
résident non-résident
"utilisateur de tabac" "non fumeur"
pessimiste optimiste
coenobite ermite
spécialiste "homme de la renaissance"
stander modèle
"agent universel" "agent spécial"
technophobe technophile
"courant électrique direct" "courant alternatif électrique"
"force répulsive" "force de attraction"
"force centripète" "force centrifuge"
"charge négative" "charge positive"
transparence opacité
"mousse pleurocarpeuse" "mousse acrocarnée"
cryptogamie phanérogamae
"champignon vénéneux" champignon
cannabis "plante cultivée"
"plante à feuilles caduques" "plante à feuilles persistantes"
"encre rouge" gain
dépense "le revenu"
"argent serré" "le argent facile"
"perte de papier" "bénéfices papier"
pertes gains
"non conservatoire" paiement
"caution non garantie" "caution sécurisée"
"compte de marge" "compte de caisse"
"confiance passive" "confiance active"
"paiement immédiat" "paiement différé"
"entrée de débit" "entrée de crédit"
caisse "la comptabilité de exercice"
"sur la garantie du compteur" "sécurité cotée"
inactivation activation
"métabolisme destructeur" "métabolisme constructif"
katamorphisme "le anamorphisme"
vermiculation anastalsis
ovulation anovulation
"fonctionnement synchrone" "opération asynchrone"
récapitulation caenogenèse
"hausse des prix" déflation
désinflation déflation
développement dégénérescence
"la fourniture" demande
"hausse des prix" désinflation
non-développement développement
"spirale déflationniste" "spirale inflationniste"
effluence afflux
"processus réversible" "processus irréversible"
"opération consécutive" "opération simultanée"
"la source" évier
conduire déficit
"partie alicante" "partie aliquote"
"limite supérieure" "limite inférieure"
inconnience connectivité
irrelevance pertinence
immatérialité matérialité
inapplicabilité applicabilité
"sans rapport" parenté
intransigeance transitivité
"voix passive" "voix active"
consanguinité affinité
"côté sous le vent" "au vent"
désynchronisation synchronisation
dernier ancien
"polygone concave" "polygone convexe"
"ligne droite" "forme incurvée"
"triangle rectangle" "triangle oblique"
trapèze parallélogramme
"angle saillant" "angle de rentrée"
"angle oblique" "angle droit"
disproportion proportion
dystopie utopie
rejet acceptation
équilibre déséquilibre
inclusion exclusion
astigmatisme stigmatisme
"état faible" "haut statut"
"brûleur avant" veilleuse
inexistence "le être"
non-être "le être"
spuriousness authenticité
irréalité "la réalité"
fausseté "la vérité"
"la proximité" hérédité
sympathie allopatry
intermariage intermariage
chômage emploi
désordre commande
instabilité "la stabilité"
"état de guerre" paix
immunodéficience immunocompétence
"guerre froide" "guerre chaude obscurité"
éclairage culpabilité
innocence instabilité
équilibre "le immobilité"
mouvement sobriété
intoxication "envie de dormir"
insomnie insomnie
hypersomanie anoestrus
oestrus "le hypocapnie"
hypercapnie hypothermie
hyperthermie puissance
impuissance "la fertilité"
infertilité "problème de santé"
"bonne santé" "désordre organique"
"trouble fonctionnel" bien-être
malaise hypoparathyroïdie
hyperparathyroïdie hypotension
hypertension hypothyroïdie
hyperthyroïdie hypovolémie
hypervolémie hypocalcémie
hypercalcémie hypokaliémie
hyperkaliémie hyponatrémie
hypernatrémie hypopigmentation
hyperpigmentation hypoglycémie
hyperglycémie "maladie mentale"
"santé mentale" folie
sageté "dépression psychotique"
"dépression neurotique" allégresse
dépression haute
"les esprits bas" unification
séparation continuité
discontinuité connectivité
déconnexion cohésion
incohérence dissociation
association déclinaison
amélioration immaturité
maturité verdure
maturité obscurité
importance déshonorer
lauriers opprobre
célébrité disesteem
"le respect" déconsidération
réputation infamie
célébrité inconfort
comfortableness malheur
bien-être vide
plénitude cavité
solidité imperfection
"ne plus ultra" incomplétude
exhaustivité varus
valgus malheur
chance insolvabilité
solvabilité impossibilité
possibilité impureté
pureté appauvrissement
richesse insalubres
sanitaire "le impureté"
propreté désordre
ordre anomalie
normalité untypicality
"la typicité" "pollution non biodégradable"
"pollution biodégradable" cyclone
anticyclone "le infortune"
"beau temps" susceptibilité
insensibilité "sans eau"
humidité danger
sécurité insécurité
sécurité "le insécurité"
"la sécurité" "le atonicité"
tonicité inaptitude
"forme physique" "la clairvoyance"
myopie hétérozygotie
homozygotie hypotonie
hypertonicité "essence sans plomb"
"essence au plomb" inhibiteur
activateur anticatalyseur
accélérateur isolant
conducteur "adn non codant"
"codant le adn" "faible explosif"
"hautement explosif" "eau douce"
"eau dure" "eau fraiche"
"eau salée" exotoxine
endotoxine "temps de fonctionnement"
"temps de arrêt" "temps libre"
"temps de travail" "le temps de venir"
"temps passés" "jour de repos"
"jour ouvrable" disparition
naissance minorité
"âge légal" nuit
"lumière du jour" coucher
"rupture du jour" "solstice de hiver"
"solstice de été" "équinoxe de septembre"
"équinoxe vernal" "du temps en plus"
"temps réglementaire" "hors saison"
"haute saison" "saison sèche"
"saison des pluies" "le fond de le entrée"
"haut de la manche" milieu
"heure de départ" fin
"heure de départ" fin
milieu inspirer
expirer "être actif"
"du repos" réveiller
"attrape des z" aestivate
hiberner revivre
"se endormir" "se avérer"
"se pieuter" "faire dormir"
réveillez-vous apporter
anesthésier stimuler
tranquilliser désactiver
stimuler "porter sur"
rafraîchir "se détendre"
tendue décompresser
tendue pleurer
"exprimer la joie" "se habiller"
overdress mettez
"perdre du poids" dévêtir
"se habiller" dévêtir
habiliter sous-couche
overcloth enlever
"glisser sur" avorter
"porter à terme" apaiser
irriter "être bien"
souffrir "rester en panne"
régurgiter désinfecter
infecter récupérer
détériorer rester
changement dédifférencier
différencier démythologiser
"se métiser" augmenter
diminution dissimilé
assimiler affaiblir
vivifier appauvrir
enrichir ajouter
"à emporter" encombrer
unclutter inactivé
activer revigorer
amortir falsifier
correct améliorer
déclin exacerber
améliorer hydrater
sécher déssecher
humide déshumidifier
hydrater ouvrir
"fermer à clé" "se dégager"
engager affaiblir
renforcer oxyder
désoxyder exploser
réduire étaler
contrat étendue
contrat élaborer
"raccourcir rétrograde" viens
rajeunir âge
indurer adoucir
pause "remis en état"
dégonfler gonfler
alcaliniser acidifier
"se empirer" rebondir
dégeler immobiliser
déstabiliser stabiliser
désensibiliser sensibiliser
postdater antidate
mélaniser blanchir
assombrir éclaircir
coloris décolorer
de-escalade intensifier
enlaidir embellir
untune "mise au point"
disqualifier qualifier
contrat élargir
prendre "laisser sortir"
exploser imploser
hydrogénation déshydrogéner
focaliser brouiller
focaliser blear
apprécier déprécier
allonger raccourcir
dématérialiser "se concrétiser"
"mettre fin" commencer
"mettre fin" commencer
"être né" "cash in one's chips"
briser unifier
chauffer refroidir
ébullition gel
dépersonnaliser individualiser
stimuler étouffer
aplatir aiguiser
désynchroniser synchroniser
intégrer désintégrer
démagnétiser magnétiser
compliquer simplifier
dépressuriser pressuriser
déconcentrer concentrer
étaler hiverner
dénationaliser nationaliser
dénaturer naturaliser
émigrer immigrer
desserrer raidir
détransitiver transitiver
disparaître apparaître
disparaître viens
maximiser minimiser
"mise à le échelle" réduire
intensifier mince
décliner monter
décliner plein
retrousser déployer
diminuer branchement
ralentir accélérer
invalider valider
remplir décharge
"faire plein" vide
"lait aigre" homogénéiser
braquage "se dépêcher"
bruyère apaiser
fausser "se aligner"
contaminer décontaminer
décalcifier calcifier
démultiplier émulsifier
nazify dénaziser
nitrifier dénitrifier
activer incapacité
"premier plan" contexte
démystifier mystifier
ionate désioner
de-iodate iodate
orienter occidentaliser
dessaler salé
déchiffrer brouiller
decrescendo crescendo
virer arrière
destaliniser staliniser
ignorer connaître
"perdre la trace" suivre
"dessiner une ébauche" rappeler
oublier "garder à le esprit"
oublier "rappelles toi"
"prendre à cœur" prématurer
comprendre omettre
spiritualiser littéraire
soustraire additionner
fraction multiplier
intégrer différencier
synthétiser panne
surclassement rétrograder
réfuter démontrer
contredire justifier
surestimer sous-estime
désapprouver approuver
répugner disposer
"ne pas croire" croyez
acceptez rejeter
réprouver "donner son accord"
confiance méfiance
dissocier associer
désavouer prétendre
dissuader persuader
parler "parler de visage"
interdit consentement
déclin "se contracter"
"contrat dans" contestation
acquiescer concorde
"prendre problème" désapprouver
sanction affronter
éviter reconnaître
nier désavouer
confirmer louange
"prendre séparement" minimiser
hyperboliser absoudre
"faire des reproches" flatter
dénigrer détromper
"se égarer" sonne
courage sifflement
applaudir bénir
anathématiser déconsacre
consacrer désobliger
accommoder pause
faire "dis adieu"
bienvenue condamné
décharge chuchotement
crier contre-indiqué
indiquer "garde la bouche fermée"
"laisse le chat en dehors du sac" obscurcir
élucider vocaliser
dévice check-out
enregistrement horloge
horloge déchiffrer
encoder effacer
record généraliser
particulariser communiquer
excommunier "se ouvrir"
boutonner "non encadré"
épeler "tomber par le bord du chemin"
participer démilitariser
accumuler mobiliser
démobiliser "faire la paix"
guerre rassembler
rassembler démilitariser
militariser gagner
perdre "prendre du retard"
"faire des progrès" "rester ferme"
abandon défendre
attaque dépassement
dépasser fusible
désamorcer abstention
consommer "dîner à le extérieur"
"dîner dans" "dormir dehors"
"dormir dans" affamer
alimentation biberon
allaiter "être rempli"
affamer dégrafer
fermoir renoncer
saisir défaire
fausser manquer
"entrer en collision avec" aiguiser
émousser rugueuse
lisser étaler
replier détendre
déformer déballer
emballer lier
unbrace déchaîner
chaîne unstrap
sangle vient
attacher disjointe
conjointe rassembler
disjointe détacher
attacher découpler
"couple sur" suffixe
préfixe débrider
bride délier
lier unlash
fouetter décrocher
dock dégrader
aggrade démêler
attelage devoiler
couverture détacher
boucler fermez
décompresser débarrer
bar "se ouvrir"
fermer déboulonner
boulon vis
dévisser desceller
joint déconnecter
relier démasquer
masque "détendre les cordes"
chaîne décrocher
crochet "détacher la ceinture"
ceinture dégrafer
agrafe déclier
agrafe déboutonner
bouton détacher
épingle rassembler
distribuer décompresser
"emballer ensemble" déconnecter
brancher déboucher
"bouchon de liège" emporter
transmettre obliger
obliger enlever
adduit redresser
emmêler déranger
organiser obstruer
"se dégager" désinstaller
étouffer "se détendre"
étouffer sortir
pack dévoiler
voile unbox
paquet uncrate
caisse décoller
"poids vers le bas" décharge
charge dételer
joug outpan
inspan dételer
harnais offsaddle
selle "force retour"
attirer éteindre
allumer "se dégager"
fonctionner détortiller
entrelacer "non tissé"
entremêler unbrid
plaider enchevêtrement
déchiffrer dénouer
enchevêtrement éteindre
ficelle "se dérouler"
bobine fonction
