 A ( ADVERB ) 
 Amman ( NOUN NOUN_PROPER_SINGULAR ) 
 Ammoniti ( NOUN NOUN_PROPER_SINGULAR ) 
 Amnesty ( NOUN NOUN_PROPER_SINGULAR ) 
 Amsterdam ( NOUN NOUN_PROPER_SINGULAR ) 
 An ( NOUN NOUN_PROPER_SINGULAR ) 
 Anas ( NOUN NOUN_PROPER_SINGULAR ) 
 Anc ( NOUN NOUN_PROPER_SINGULAR ) 
 Ancelotti ( NOUN NOUN_PROPER_SINGULAR ) 
 Ancona ( NOUN NOUN_PROPER_SINGULAR ) 
 Anderson ( NOUN NOUN_PROPER_SINGULAR ) 
 Andersson ( NOUN NOUN_PROPER_SINGULAR ) 
 Andre' ( NOUN NOUN_PROPER_SINGULAR ) lemma=`André` NPR  
 Andrea ( NOUN NOUN_PROPER_SINGULAR ) 
 Andreatta ( NOUN NOUN_PROPER_SINGULAR ) 
 Andrei ( NOUN NOUN_PROPER_SINGULAR ) 
 Andrej ( NOUN NOUN_PROPER_SINGULAR ) 
 Andreotti ( NOUN NOUN_PROPER_SINGULAR ) 
 Andrew ( NOUN NOUN_PROPER_SINGULAR ) 
 Andria ( NOUN NOUN_PROPER_SINGULAR ) 
 André ( NOUN NOUN_PROPER_SINGULAR ) 
 Andy ( NOUN NOUN_PROPER_SINGULAR ) 
 Angela ( NOUN NOUN_PROPER_SINGULAR ) 
 Angeles ( NOUN NOUN_PROPER_SINGULAR ) 
 Angeli ( NOUN NOUN_PROPER_SINGULAR ) 
 Angelini ( NOUN NOUN_PROPER_SINGULAR ) 
 Angelis ( NOUN NOUN_PROPER_SINGULAR ) 
 Angelo ( NOUN NOUN_PROPER_SINGULAR ) 
 Angius ( NOUN NOUN_PROPER_SINGULAR ) 
 Angola ( NOUN NOUN_PROPER_SINGULAR ) 
 Ania ( NOUN NOUN_PROPER_SINGULAR ) 
 Anita ( NOUN NOUN_PROPER_SINGULAR ) 
 Ankara ( NOUN NOUN_PROPER_SINGULAR ) 
 Anm ( NOUN NOUN_PROPER_SINGULAR ) 
 Anna ( NOUN NOUN_PROPER_SINGULAR ) 
 Annamaria ( NOUN NOUN_PROPER_SINGULAR ) 
 Annan ( NOUN NOUN_PROPER_SINGULAR ) 
 Anne ( NOUN NOUN_PROPER_SINGULAR ) 
 Annunziata ( NOUN NOUN_PROPER_SINGULAR ) 
 Annunzio ( NOUN NOUN_PROPER_SINGULAR ) 
 Anonima ( NOUN NOUN_PROPER_SINGULAR ) 
 Anpac ( NOUN NOUN_PROPER_SINGULAR ) 
 Ansa ( NOUN NOUN_PROPER_SINGULAR ) 
 Ansaldo ( NOUN NOUN_PROPER_SINGULAR ) 
 Anselmi ( NOUN NOUN_PROPER_SINGULAR ) 
 Anthony ( NOUN NOUN_PROPER_SINGULAR ) 
 Antitrust ( NOUN NOUN_PROPER_SINGULAR ) 
 Antoine ( NOUN NOUN_PROPER_SINGULAR ) 
 Antonella ( NOUN NOUN_PROPER_SINGULAR ) 
 Antonello ( NOUN NOUN_PROPER_SINGULAR ) 
 Antoni ( NOUN NOUN_PROPER_SINGULAR ) 
 Antonietta ( NOUN NOUN_PROPER_SINGULAR ) 
 Antonino ( NOUN NOUN_PROPER_SINGULAR ) 
 Antonio ( NOUN NOUN_PROPER_SINGULAR ) 
 Antonioni ( NOUN NOUN_PROPER_SINGULAR ) 
 Aosta ( NOUN NOUN_PROPER_SINGULAR ) 
 Apollo ( NOUN NOUN_PROPER_SINGULAR ) 
 Appennino ( NOUN NOUN_PROPER_SINGULAR ) 
 Apple ( NOUN NOUN_PROPER_SINGULAR ) 
 Aprilia ( NOUN NOUN_PROPER_SINGULAR ) 
 Aquila ( NOUN NOUN_PROPER_SINGULAR ) 
 Aquino ( NOUN NOUN_PROPER_SINGULAR ) 
 Arabia ( NOUN NOUN_PROPER_SINGULAR ) 
 Arafat ( NOUN NOUN_PROPER_SINGULAR ) 
 Arbore ( NOUN NOUN_PROPER_SINGULAR ) 
 Arco ( NOUN NOUN_PROPER_SINGULAR ) 
 Arcore ( NOUN NOUN_PROPER_SINGULAR ) 
 Arcuti ( NOUN NOUN_PROPER_SINGULAR ) 
 Arena ( NOUN NOUN_PROPER_SINGULAR ) 
 Arese ( NOUN NOUN_PROPER_SINGULAR ) 
 Arezzo ( NOUN NOUN_PROPER_SINGULAR ) 
 Argentin ( NOUN NOUN_PROPER_SINGULAR ) 
 Argentina ( NOUN NOUN_PROPER_SINGULAR ) 
 Argento ( NOUN NOUN_PROPER_SINGULAR ) 
 Ariosto ( NOUN NOUN_PROPER_SINGULAR ) 
 Aristide ( NOUN NOUN_PROPER_SINGULAR ) 
 Ariston ( NOUN NOUN_PROPER_SINGULAR ) 
 Arkansas ( NOUN NOUN_PROPER_SINGULAR ) 
 Armando ( NOUN NOUN_PROPER_SINGULAR ) 
 Armani ( NOUN NOUN_PROPER_SINGULAR ) 
 Armenia ( NOUN NOUN_PROPER_SINGULAR ) 
 Armstrong ( NOUN NOUN_PROPER_SINGULAR ) 
 Arnaldo ( NOUN NOUN_PROPER_SINGULAR ) 
 Arsenal ( NOUN NOUN_PROPER_SINGULAR ) 
 Art ( NOUN NOUN_PROPER_SINGULAR ) 
 Arthur ( NOUN NOUN_PROPER_SINGULAR ) 
 Arturo ( NOUN NOUN_PROPER_SINGULAR ) 
 Ascoli ( NOUN NOUN_PROPER_SINGULAR ) 
 Asia ( NOUN NOUN_PROPER_SINGULAR ) 
 Asinello ( NOUN NOUN_PROPER_SINGULAR ) 
 Asprilla ( NOUN NOUN_PROPER_SINGULAR ) 
 Aspromonte ( NOUN NOUN_PROPER_SINGULAR ) 
 Assad ( NOUN NOUN_PROPER_SINGULAR ) 
 Assisi ( NOUN NOUN_PROPER_SINGULAR ) 
 Assitalia ( NOUN NOUN_PROPER_SINGULAR ) 
 Assolombarda ( NOUN NOUN_PROPER_SINGULAR ) 
 Asti ( NOUN NOUN_PROPER_SINGULAR ) 
 At&t ( NOUN NOUN_PROPER_SINGULAR ) 
 Atalanta ( NOUN NOUN_PROPER_SINGULAR ) 
 Atene ( NOUN NOUN_PROPER_SINGULAR ) 
 Ati ( NOUN NOUN_PROPER_SINGULAR ) 
 Atlanta ( NOUN NOUN_PROPER_SINGULAR ) 
 Atlantic ( NOUN NOUN_PROPER_SINGULAR ) 
 Atlantico ( NOUN NOUN_PROPER_SINGULAR ) 
 Atletico ( NOUN NOUN_PROPER_SINGULAR ) 
 Attilio ( NOUN NOUN_PROPER_SINGULAR ) 
 Audi ( NOUN NOUN_PROPER_SINGULAR ) 
 Auditel ( NOUN NOUN_PROPER_SINGULAR ) 
 Augusta ( NOUN NOUN_PROPER_SINGULAR ) 
 Augusto ( NOUN NOUN_PROPER_SINGULAR ) 
 Auletta ( NOUN NOUN_PROPER_SINGULAR ) 
 Aurelio ( NOUN NOUN_PROPER_SINGULAR ) 
 Auschwitz ( NOUN NOUN_PROPER_SINGULAR ) 
 Australia ( NOUN NOUN_PROPER_SINGULAR ) 
 Austria ( NOUN NOUN_PROPER_SINGULAR ) 
 Authority ( NOUN NOUN_PROPER_SINGULAR ) 
 Auto ( NOUN NOUN_PROPER_SINGULAR ) 
 Avana ( NOUN NOUN_PROPER_SINGULAR ) 
 Avanti ( NOUN NOUN_PROPER_SINGULAR ) 
 Avellino ( NOUN NOUN_PROPER_SINGULAR ) 
 Avenue ( NOUN NOUN_PROPER_SINGULAR ) 
 Aviv ( NOUN NOUN_PROPER_SINGULAR ) 
 Avv. ( NOUN NOUN_SINGULAR ) lemma=`avvocato` NOUN  
 Avvenire ( NOUN NOUN_PROPER_SINGULAR ) 
 Ayala ( NOUN NOUN_PROPER_SINGULAR ) 
 Azeglio ( NOUN NOUN_PROPER_SINGULAR ) 
 Azienda ( NOUN NOUN_PROPER_SINGULAR ) 
 Aziz ( NOUN NOUN_PROPER_SINGULAR ) 
 Aznar ( NOUN NOUN_PROPER_SINGULAR ) 
 Azzurra ( NOUN NOUN_PROPER_SINGULAR ) 
 Azzurro ( NOUN NOUN_PROPER_SINGULAR ) 
 a ( ADVERB PREPOSITION ) 
 a-storica ( ADJECTIVE ) lemma=`a-storico` ADJ  
 a-storiche ( ADJECTIVE ) lemma=`a-storico` ADJ  
 a-storici ( ADJECTIVE ) lemma=`a-storico` ADJ  
 a-storicissima ( ADJECTIVE ) lemma=`a-storico` ADJ  
 a-storicissime ( ADJECTIVE ) lemma=`a-storico` ADJ  
 a-storicissimi ( ADJECTIVE ) lemma=`a-storico` ADJ  
 a-storicissimo ( ADJECTIVE ) lemma=`a-storico` ADJ  
 a-storico ( ADJECTIVE ) 
 a.C. ( ) 
 aahh ( ) 
 aahhh ( ) 
 aargh ( ) 
 abate ( NOUN NOUN_SINGULAR ) 
 abati ( NOUN NOUN_SINGULAR ) lemma=`abate` NOUN  
 abbacchi ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchia ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiai ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiammo ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiamo ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchian ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiando ( NOUN NOUN_GERUND ) lemma=`abbacchiare` VER:geru  
 abbacchiano ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`abbacchiare` VER:ppre  
 abbacchianti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`abbacchiare` VER:ppre  
 abbacchiar ( VERB_INFINITIVE VERB ) lemma=`abbacchiare` VER:infi  
 abbacchiare ( VERB_INFINITIVE VERB ) 
 abbacchiaron ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiarono ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiasse ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiasser ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiassero ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiassi ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiassimo ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiaste ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiasti ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiata ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbacchiare` VER:ppast  
 abbacchiate ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbacchiare`abbacchiare` VER:fin  VER:ppast  
 abbacchiati ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbacchiare` VER:ppast  
 abbacchiato ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbacchiare` VER:ppast  
 abbacchiava ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiavamo ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiavan ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiavano ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiavate ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiavi ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiavo ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiera' ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchierai ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchieran ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchieranno ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchierebbe ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchierebber ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchierebbero ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchierei ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchieremmo ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchieremo ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiereste ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchieresti ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchierete ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiero' ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchierà ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchierò ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchin ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchino ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchio ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchio' ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacchiò ( VERB ) lemma=`abbacchiare` VER:fin  
 abbacina ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinai ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinammo ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinan ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinando ( NOUN NOUN_GERUND ) lemma=`abbacinare` VER:geru  
 abbacinano ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`abbacinare` VER:ppre  
 abbacinanti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`abbacinare` VER:ppre  
 abbacinar ( VERB_INFINITIVE VERB ) lemma=`abbacinare` VER:infi  
 abbacinare ( VERB_INFINITIVE VERB ) 
 abbacinaron ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinarono ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinasse ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinasser ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinassero ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinassi ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinassimo ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinaste ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinasti ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinata ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbacinare` VER:ppast  
 abbacinate ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbacinare`abbacinare` VER:fin  VER:ppast  
 abbacinati ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbacinare` VER:ppast  
 abbacinato ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbacinare` VER:ppast  
 abbacinava ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinavamo ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinavan ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinavano ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinavate ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinavi ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinavo ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinera' ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinerai ( VERB ) lemma=`abbacinare` VER:fin  
 abbacineran ( VERB ) lemma=`abbacinare` VER:fin  
 abbacineranno ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinerebbe ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinerebber ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinerebbero ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinerei ( VERB ) lemma=`abbacinare` VER:fin  
 abbacineremmo ( VERB ) lemma=`abbacinare` VER:fin  
 abbacineremo ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinereste ( VERB ) lemma=`abbacinare` VER:fin  
 abbacineresti ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinerete ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinero' ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinerà ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinerò ( VERB ) lemma=`abbacinare` VER:fin  
 abbacini ( VERB ) lemma=`abbacinare` VER:fin  
 abbaciniamo ( VERB ) lemma=`abbacinare` VER:fin  
 abbaciniate ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinin ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinino ( VERB ) lemma=`abbacinare` VER:fin  
 abbacino ( VERB ) lemma=`abbacinare` VER:fin  
 abbacino' ( VERB ) lemma=`abbacinare` VER:fin  
 abbacinò ( VERB ) lemma=`abbacinare` VER:fin  
 abbagli ( NOUN VERB NOUN_SINGULAR ) lemma=`abbaglio`abbagliare` NOUN  VER:fin  
 abbaglia ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliai ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliammo ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliamo ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglian ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliando ( NOUN NOUN_GERUND ) lemma=`abbagliare` VER:geru  
 abbagliandoci ( NOUN NOUN_GERUND ) lemma=`abbagliare` VER:geru:cli  
 abbagliano ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliante ( VERB_PRESENT_PARTICIPLE VERB ADJECTIVE ) lemma=`abbagliante`abbagliare` ADJ  VER:ppre  
 abbaglianti ( VERB_PRESENT_PARTICIPLE VERB ADJECTIVE ) lemma=`abbagliante`abbagliare` ADJ  VER:ppre  
 abbagliantissima ( ADJECTIVE ) lemma=`abbagliante` ADJ  
 abbagliantissime ( ADJECTIVE ) lemma=`abbagliante` ADJ  
 abbagliantissimi ( ADJECTIVE ) lemma=`abbagliante` ADJ  
 abbagliantissimo ( ADJECTIVE ) lemma=`abbagliante` ADJ  
 abbagliar ( VERB_INFINITIVE VERB ) lemma=`abbagliare` VER:infi  
 abbagliare ( VERB_INFINITIVE VERB ) 
 abbagliarli ( VERB_INFINITIVE VERB ) lemma=`abbagliare` VER:infi:cli  
 abbagliaron ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliarono ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliasse ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliasser ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliassero ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliassi ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliassimo ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliaste ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliasti ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliata ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbagliare` VER:ppast  
 abbagliate ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbagliare`abbagliare` VER:fin  VER:ppast  
 abbagliati ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbagliare` VER:ppast  
 abbagliato ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbagliare` VER:ppast  
 abbagliava ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliavamo ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliavan ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliavano ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliavate ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliavi ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliavo ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliera' ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglierai ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglieran ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglieranno ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglierebbe ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglierebber ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglierebbero ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglierei ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglieremmo ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglieremo ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliereste ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglieresti ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglierete ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliero' ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglierà ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglierò ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglin ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglino ( VERB ) lemma=`abbagliare` VER:fin  
 abbaglio ( NOUN VERB NOUN_SINGULAR ) lemma=`abbaglio`abbagliare` NOUN  VER:fin  
 abbaglio' ( VERB ) lemma=`abbagliare` VER:fin  
 abbagliò ( VERB ) lemma=`abbagliare` VER:fin  
 abbai ( VERB ) lemma=`abbaiare` VER:fin  
 abbaia ( VERB ) lemma=`abbaiare` VER:fin  
 abbaiai ( VERB ) lemma=`abbaiare` VER:fin  
 abbaiammo ( VERB ) lemma=`abbaiare` VER:fin  
 abbaiamo ( VERB ) lemma=`abbaiare` VER:fin  
 abbaian ( VERB ) lemma=`abbaiare` VER:fin  
 abbaiando ( NOUN NOUN_GERUND ) lemma=`abbaiare` VER:geru  
