##<<SPANISH 
concept: ~numberoperator()
posterior frente
"Segadora electrica" "Cortacésped manual"
"Droga blanda" "Droga dura"
"software de ordenador" "hardware de la computadora"
cola cabeza
"Cesta de salida" "en canasta"
estribor babor
estudio ubicación
Estable móvil
"Almacenamiento volátil" "almacenamiento no volátil"
"marcha atrás" anverso
Innombrable "prenda exterior"
"medicina recetada" "medicina sin receta"
"Bobina del estator" "Bobina del rotor"
"Buque de superficie" "Buque de guerra sumergible"
Interioridad "existencia objetiva"
mundanería "Otra condición"
Introversión Extraversión
Ambiversión Extraversión
Ambiversión Introversión
"Falta de emoción" emoción
"Falta de esmero" alegría
Inactividad Actividad
Inadmisibilidad permisividad
"Mala naturaleza" "Buena naturaleza"
impaciencia paciencia
Desagradabilidad Amabilidad
franqueza nitidez
Involuntaria complacencia
Frivolidad Seriedad
"Falta de comunicación" Comunicatividad
Insociabilidad Sociabilidad
sigilo desnudez
Hostilidad amabilidad
Inaccesible accesibilidad
Uncongeniality congenialidad
"Falta de vecindad" "Buena vecindad"
Inhospitabilidad Hospitalidad
Inadaptación adaptabilidad
inflexibilidad flexibilidad
"Falta de consideración" consideración
"desatento inatención" atención
descuido cuidado
"Falta de conciencia" "atención plena"
Imprudencia Cautela
Unwariness atención
feminidad masculinidad
"Falta de confianza" integridad
Irresponsabilidad Responsabilidad
Indefectible Dependencia
Inconsciencia escrupulosidad
"Sin pelo" "lo peludo"
fealdad belleza
Desagradable Complacencia
"Falta de atractivo" atractivo
opacidad Nubosidad
indistinción diferencia
torpeza agudeza
Discreción Conspicuidad
Discreción Obsesión
Dificultad sencillez
Esfuerzo "Facilidad de esfuerzo"
incompatibilidad compatibilidad
Incongruencia Congruencia
Inutilidad Idoneidad
Inapropia oportunidad
infelicidad Felicidad
Inapposición Aptitud
"falta de aptitud" Adecuación
Inelegibilidad elegibilidad
Inasegurabilidad Asegurabilidad
inconveniencia conveniencia
Inoportunidad oportunidad
inaccesibilidad accesibilidad
inferioridad "alta calidad"
Inmutabilidad Variabilidad
Irreversibilidad reversibilidad
constancia Cambio
Invariabilidad Variabilidad
Invariabilidad Variedad
Invariabilidad Intercambiabilidad
Inconvertibilidad convertibilidad
Inmutabilidad Mutabilidad
Inalterabilidad alterabilidad
diferencia igualdad
disimilitud semejanza
disimilitud similitud
"No uniforme" Uniformidad
Heterogeneidad Homogeneidad
inconsecuencia consistencia
desigualdad igualdad
"Ninguna equivalencia" equivalencia
Desnivel igualdad
precariedad "Conclusión inevitable"
Inconclusividad Conclusión
Impredecibilidad Previsibilidad
Improbabilidad probabilidad
Improbabilidad probabilidad
Contrafactualidad Factualidad
"carácter abstracto" Concreción
Intangibilidad Tangibilidad
Incorporeidad Fisicalidad
Insubstancialidad Sustancialidad
irrealidad realidad
generalidad particularidad
Comunalidad individualidad
Complejidad sencillez
irregularidad regularidad
variabilidad invariabilidad
inestabilidad firmeza
inmovilidad movilidad
Immotilidad motilidad
Inmovilidad Movilidad
opresión flojedad
Estabilidad Inestabilidad
flojedad Seguridad
disgusto agrado
suciedad amabilidad
Incredibilidad Creibilidad
Implausibilidad Plausibilidad
Ilógico Lógica
Antinaturalidad naturalidad
fingimiento "Sin afectación"
pretensión Despretensión
Malnutrición Salubridad
Insalubridad Saludable
Insalubre Salubriousness
Insatisfacción Satisfactoriedad
Inadecuación Adecuación
Inaceptable Aceptabilidad
inadmisibilidad admisibilidad
Inadmisibilidad Permisibilidad
Extraordinario Ordinario
Inesperado Expectativa
Desorden "Placer común"
Inusual Costumbre
Desconocimiento familiaridad
Natividad Extranjería
"Falta de originalidad" originalidad
ortodoxia Heterodoxia
convencionalismo "No convencional"
Incorrección exactitud
inexactitud exactitud
inexactitud exactitud
Imprecisión precisión
falibilidad infalibilidad
Errancia Inerrancia
Indignidad Dignidad
Impopularidad popularidad
ilegalidad legalidad
Ilicitud Legalidad
ilegitimidad legitimidad
Ilícito Licencia
"falta de elegancia" elegancia
"mal gusto" elegancia
urbanidad rusticidad
incomprensibilidad Comprensibilidad
Ilegibilidad legibilidad
Ininteligibilidad inteligibilidad
"Falta de claridad" Pellucididad
Recóndita Pellucididad
"Ambigüedad lexical" Monosemy
Equívoco Inequívoca
Inexplicidad claridad
Injusticia justicia
Impiedad piedad
Impiedad devoción
Inhumanidad humanidad
Inmisericorde misericordia
tacañería Generosidad
Iliberalidad Liberalidad
egoísmo Desinterés
Egocentrismo Desinterés
Injusticia justicia
Maldad amabilidad
maleficencia beneficencia
malignidad gracia
Desconsideración miramiento
"Falta de tacto" Tacto
Insensibilidad sensibilidad
Imprecisión Percepción
inmoralidad moralidad
Equivocación justicia
Maldad bondad
Injusticia justicia
Ilicitud Legitimidad
incorruptibilidad corruptibilidad
Incorruptibilidad Corrupción
Impiedad Santidad
Peligrosidad seguridad
Incurabilidad Curabilidad
Cobardía Valentía
Pusilanimidad "Buen corazón"
espanto intrepidez
Timidez robustez
"Gutlessness traducción espanol" "Pluckiness traducción espanol"
Irresolución "Firmeza de propósito"
Indecisión Determinación
insinceridad sinceridad
Deshonra Honradez
deshonra honor
"Sin escrúpulos" escrupulosidad
Irrespetuidad respetabilidad
deshonestidad Honestidad
Falsedad veracidad
mendacidad veracidad
Sinceridad Ingenuidad
astucia naturalidad
Infidelidad fidelidad
deslealtad Veracidad
Ingenuidad sofisticación
indisciplina disciplina
Irrestricto restricción
intemperancia templanza
Humildad Vanidad
tontería Sabiduría
imprudencia prudencia
miopía providencia
Desconfianza Confianza
suciedad limpieza
desorden aseo
Impropiedad Correctitud
Indecorancia Decorosidad
"Incorrección política" "Corrección política"
Insensibilidad decoro
Impropiedad Devenir
indecencia decencia
deshonestidad Modestia
desconcierto ecuanimidad
Intratabilidad Tracibilidad
desenfreno domesticación
desobediencia obediencia
insubordinación subordinación
informalidad Formalidad
"Sin ceremonias" Ceremonia
descortesía "Buenos modales"
descortesía cortesía
Desgracia gracia
incivilidad civilidad
Anisotropía Isotropía
Indirecta rectitud
Mediariedad Inmediatez
novedad ranciedad
Estancamiento frescura
Juventud ranciedad
"Conjunto de instrucciones reducidas" "Conjunto de instrucciones complejas"
delgadez espesor
blandura dureza
Incompresibilidad compresibilidad
Indomable Rompimiento
Solidez porosidad
Impermeabilidad Permeabilidad
impenetrabilidad penetrabilidad
"No absorbente" absorbencia
Harapiento suavidad
"lo aburrido" brillo
"Sin colorear" colorante
"Color acromático" "Color cromático"
blancura negrura
Despigmentación pigmentación
oscuridad ligereza
silencio sonar
disonancia armonía
"baja frecuencia" "alta frecuencia"
blandura intensidad
Unpalatableness Paladar
"Poco apetecible" Apetitoso
Indigestibilidad Digestibilidad
Escaso Avoirdupois
falta altura
torpeza gracia
Inanimidad Animadicidad
Insentiencia Sensibilidad
Feminidad masculinidad
"alta temperatura" "baja temperatura"
Imperceptibilidad perceptibilidad
Invisibilidad Visibilidad
Inaudibleness Audacia
inflexibilidad elasticidad
Maleabilidad maleabilidad
Inflexibilidad flexibilidad
ingravidez Peso
debilidad fuerza
"Parte débil" "Buena parte"
"Falta de seriedad" solvencia
vulnerabilidad invulnerabilidad
alcalinidad acidez
Indestructibilidad Destructibilidad
retraso Precocidad
Subsiguiente antecedencia
tardanza puntualidad
"Falta de conveniencia" Estacionalidad
Presente Pasado
futuro Pasado
Presente futuro
falta Longitud
impermanencia permanencia
inmortalidad mortalidad
disimetría Simetría
"Asimetría radial" "simetría radial"
gradualidad Precipitación
redondez angularidad
"Sin punta" Puntualidad
excentricidad concentricidad
Torpeza rectitud
rectitud Rizado
Marginalidad Centralidad
posterioridad anterioridad
espiritualidad "existencia objetiva"
Sureste Norte
cercanía Lejano
concentración distribución
superficialidad profundidad
bajo alto
esbeltez espesor
pequeñez extensión
Negatividad "lo positivo"
decremento incremento
insuficiencia suficiencia
escasez Abundancia
Inmoderadidad Moderación
minoría mayoria
superficialidad profundidad
estrechez anchura
llanura altura
Inutilidad valor
desmérito virtud
Indeseable Deseabilidad
maldad bondad
pena ventaja
"Bajo costo" Costo
Infructuosidad fecundidad
Improductividad productividad
Inutilidad utilidad
impracticabilidad "sentido práctico"
Impracticabilidad Practicidad
Factibilidad Factibilidad
incompetencia competencia
responsabilidad activo
desventaja ventaja
Inutilidad rentabilidad
inoportunidad conveniencia
"punto débil" "punto fuerte"
Inadmisibilidad conveniencia
Ingobernabilidad Ventaja
Inauspiciosidad "buenos auspicios"
Destructividad Constructividad
Insignificante importancia
insignificancia significado
"Falta de sentido" Significación
"Sin propósito" "sentido del propósito"
"en consecuencia" consecuencia
Inesencialidad Esencialidad
Dispensabilidad Imprescindible
Impotencia Poderoso
"Falta de convivencia" persuasión
Desinterés Interés
inoperancia eficacia
Ineficacia Eficacia
incapacidad capacidad
Incapacidad Capabilidad
incapacidad capacidad
Límite "Sin límites"
insolubilidad solubilidad
pesimismo optimismo
"Falta de respuesta" sensibilidad
Insoluble solubilidad
"Músculo flexor" "Músculo extensor"
"receptor sensorial" Efector
médula corteza
Imprudencia Juicio
estupidez inteligencia
ineptitud aptitud
incapacidad "habilidad mental"
Incapacidad potencialidad
Imperfectibilidad perfectibilidad
Creatividad "pensamiento creativo"
"Región infernal" Cielo
Analfabetismo alfabetismo
Ineptitud habilidad
incoordinación coordinación
Disfluencia fluidez
ineficacia eficiencia
Kinanesthesia "Sentido del movimiento"
"tráfico de influencias" "sistema de mérito"
inconsciencia conciencia
Incógnita conciencia
Inconsciencia Autoconciencia
insensibilidad sensibilidad
dormido Despertar
"llenura de dudas" certeza
inatención atención
"desatento inatención" "prestar atención"
inexperiencia experiencia
"Pensamiento sintético" "Pensamiento analítico"
"Pensamiento fuera de la caja" "pensamiento convergente"
incomprensión comprensión
general especial
"Idea equivocada" concepción
antitipo tipo
divergencia convergencia
medio comenzando
fin comenzando
fin medio
"Principio de la realidad" "Principio del placer-desagrado"
Yin Yang
suelo figura
incredulidad creencia
Cataphatismo Apophatismo
"Doctrina de la analogía" Apophatismo
"Doctrina de la analogía" Cataphatismo
imitación formalismo
nacionalismo internacionalismo
pluralismo monismo
nacionalismo Multiculturalismo
Hereditarismo Ambientalismo
"No iluminación" ilustración
"Intervalo sin límites" "Intervalo limitado"
Cacogénicos eugenesia
"Teoría holística" "Teoría atomística"
"Teoría corpuscular de la luz" "Teoría de la luz de la onda"
"Movimiento romántico" Clasicismo
"Lingüística prescriptiva" "Lingüística descriptiva"
Atanasianismo arrianismo
Sinpartidismo partidismo
Equidad Injusticia
intolerancia tolerancia
"estrechez de miras" "Amplitud de miras"
"falta de respeto" "el respeto"
irreverencia reverencia
"no conformidad" conformidad
Hawkishness Mansedumbre
teísmo Impiedad
politeísmo monoteísmo
verso "a la derecha"
"correo electrónico" "correo postal"
"Palabra equivalente" "Palabra opuesta"
"Forma singular" "forma plural"
"Caso oblicuo" "caso nominativo"
"mala interpretación" "Construcción gramatical"
"sustantivo común" "nombre propio"
"Flash forward" "escena retrospectiva"
"Edición de texto" "Edición comercial"
"programa fuente" "Programa de objetos"
Disfemismo eufemismo
"correo de superficie" "Correo aéreo"
"En hospitalidad" "Recepción cordial"
estafa Pro
"no intervención" intervención
desaprobación elogio
desaprobación aprobación
desánimo ánimo
falsedad "declaración verdadera"
"evidencia circunstancial" "Evidencia directa"
"Proposición universal" "Proposición particular"
"Sincronizar categoría" Categoríame
atenuación exageración
contraindicación indicación
"Números romanos" "Numeral hindú-árabe"
subíndice sobrescrito
"letra minúscula" "letra mayúscula"
"Fuente proporcional" "Fuente de anchura constante"
"Fuente de estilo antiguo" "Fuente moderna"
atonalidad tonalidad
"lenguaje natural" "Lenguaje artificial"
"Lenguaje unidimensional" "Lenguaje multidimensional"
"Lengua sin estratificar" "Lenguaje estratificado"
tragedia comedia
"Música polifónica" "Música monofónica"
resolución preparación
disminución aumento
Verbosidad brevedad
consonante "Sonido vocálico"
"Consonante continua" "Sonido de voz plosivo"
"Discurso directo" "Discurso indirecto"
desacuerdo acuerdo
responder interrogatorio
negativo afirmativo
no sí
no sí
disuasión persuasión
conclusión comenzando
Desmembramiento vergüenza
éxito fracaso
fallecimiento natividad
inmersión emersión
caída subir
incrementar disminución
levitación gravitación
ascensión otoño
"agua baja" "agua alta"
"marea creciente" reflujo
"marea de primavera" "Marea baja"
Menguante depilación
Autofertilización "Fertilización cruzada"
autogamia "polinización cruzada"
Auto-polinización "Polinización cruzada"
"Rotación en el sentido contrario a las manecillas del reloj" "rotación en el sentido de las agujas del reloj"
paliza victoria
anafrodisia Afrodisia
Dolor Placer
disgusto gusto
aversión inclinación
desaprobación aprobación
anglofobia anglofilia
Misoginia Filoginia
ingratitud gratitud
despreocupación preocupación
Humildad Orgullo
solemnidad ligereza
calma agitación
confianza "Auto desconfianza"
infelicidad felicidad
dolor Alegría
Disforia euforia
Descontento contentamiento
insatisfacción satisfacción
desesperación esperanza
desesperación optimismo
amor odio
malevolencia benevolencia
"Mal humor" "buen humor"
"una manzana cocina" "Manzana de postre"
"leche entera" "leche desnatada"
"Vino varietal" "Vino genérico"
joven antiguo
cauteloso valiente
vivo muerto
"No iniciado" ilustrado
vegetación zoología
enjuiciamiento "Abogados de defensa"
"Equipo defensor" ofensa
Temporal clero
"gente rica" "Gente pobre"
"Matriz singular" "Matriz no singular"
"no alineamiento" coalición
"Economía socialista" "economía capitalista"
"Economía no mercantil" "Economía laissez faire"
hostil amistoso
internado "día de escuela"
"escuela nocturna" "día de escuela"
"ley internacional" "ley civil"
posterior cabeza
ahí aquí
Antapex "Ápice del sol"
perigeo apogeo
"Punto de periapsis" "Punto de apoapsis"
Perihelio afelio
Perijove Apojove
Periseleno Aposelene
"Nodo descendente" "Nodo ascendente"
antinodo nodo
cabeza pie
trasero Interfaz
exterior interior
barlovento "Lado lee"
mínimo máximo
cenit nadir
izquierda derecho
frente espalda
"Área poblada" "área rural"
"Estado libre" "Estado esclavo"
desincentivo inducción
Adicción Abilidad
declinación cuesta
"Cadena abierta" "Cadena cerrada"
afluente distribuidor
"Tierra baja" "tierras altas"
"aguas territoriales" "Aguas internacionales"
requisito "no esencial"
"Elevación natural" "Depresión natural"
"buen espíritu" Cacodaemon
"Persona juvenil" creciendo
libertador Capturer
"Persona masculina" "Persona femenina"
seguidor líder
"Persona religiosa" "Persona no religiosa"
obrero "No trabajador"
bebedor "no bebedor"
querellante acusado
"Persona sin éxito" Suceder
desconocido conocido
Agonista antagonista
enemigo amigo
profesional aficionado
descendiente antecedente
tío tía
"buen huevo" "huevo podrido"
"buen chico" "chico malo"
"buena persona" "mala persona"
toro oso
prestador prestatario
hermana "hermano de sangre"
padre niño
"no ciudadano" ciudadano
"personal militar" civil
romántico Clasicista
Laico "Hombre de la tela"
progresivo Conservador
inconformista conformista
anglicano Inconformista
Deudor acreedor
hijo hija
"Halcón de guerra" Peacenik
"Voluntario militar" reclutar
"Sin rivales" conductor
Elitista Igualitario
"Persona sin emociones" "Persona emocional"
empleador empleado
"Testigo laico" "testigo experto"
introvertido extrovertido
Madre Padre
"piel y huesos" "persona gorda"
"Aristócrata masculino" "Aristócrata femenina"
"Descendencia masculina" "Progenie femenina"
"Hermano masculino" "Hermana femenina"
niño Niña
"Con dueño" Granjero
"Heredero presuntivo" "heredero forzoso"
"Mujer casada" "hombre casado"
Superior inferior
"paciente externo" "paciente interno"
"Monarca femenina" "Monarca masculino"
noble aristócrata
"tirador recto" prevaricador
determinista Libertario
"Nacido muerto" "Bebé vivo"
ganador perdedor
ganador "También corrí"
disidente "Traducciones de lumper"
"Hembra adulta" "Macho adulto"
mujer hombre
sádico masoquista
"no es miembro" "miembro socio"
sobrina sobrino
Drumbeater "No partidista"
residente "no residente"
"Usuario de tabaco" "no fumador"
pesimista optimista
cenobita eremita
Especialista "hombre del Renacimiento"
Stander modelo
"Agente universal" "agente especial"
Technophobe Tecnófilo
"Corriente eléctrica directa" "Corriente eléctrica alterna"
"fuerza repulsiva" "fuerza atractiva"
"fuerza centrípeta" "fuerza centrífuga"
"carga negativa" "Carga positiva"
transparencia opacidad
"Musgo pleurocarpous" "Musgo acrocárpico"
Criptogamia Phanerogamae
"seta venenosa" seta
hierba "Planta cultivada"
"Planta de hoja caduca" "Planta perenne"
"tinta roja" ganancia
gasto ingresos
"Dinero apretado" "dinero fácil"
"Pérdida de papel" "Ganancia de papel"
Perdidos ganancias
"No retrasado" pago
"Bono sin garantía" "Enlace seguro"
"cuenta marginal" "Cuenta de efectivo"
"Confianza pasiva" "Confianza activa"
"Pago inmediato" "pago diferido"
"Entrada de débito" "Entrada de crédito"
"base de efectivo" "Base de devengo"
"Seguridad sin receta" "Seguridad en la lista"
Inactivación activación
"Metabolismo destructivo" "Metabolismo constructivo"
Kamoramorismo Anamorfismo
Vermiculación Anastasis
ovulación Anovulación
"Operación síncrona" "Operación asincrónica"
recapitulación Caenogénesis
"precios en aumento" deflación
desinflación deflación
desarrollo degeneración
suministro demanda
"precios en aumento" desinflación
"No desarrollo" desarrollo
"Espiral deflacionario" "Espiral inflacionaria"
efluencia afluencia
"Proceso reversible" "Proceso irreversible"
"Operación consecutiva" "Operación simultánea"
fuente lavabo
dirigir déficit
"Parte ligera" "parte alícuota"
"limite superior" "límite inferior"
Desconexión Conectividad
irrelevancia pertinencia
inmaterialidad materialidad
"falta de aplicabilidad" aplicabilidad
"Falta de relación" Relación
Intransitividad Transitividad
"voz pasiva" "voz activa"
consanguinidad afinidad
sotavento barlovento
Desincronización sincronización
último ex
"Polígono cóncavo" "polígono convexo"
"línea recta" "forma curva"
"triángulo rectángulo" "Triángulo oblicuo"
trapecio paralelogramo
"Ángulo saliente" "Ángulo de reentrada"
"ángulo oblicuo" "ángulo recto"
desproporción proporción
Distopia utopía
rechazo aceptación
equilibrio desequilibrio
inclusión exclusión
astigmatismo Estigmatismo
"Estado bajo" "estatus alto"
"Quemador frontal" "Quemador posterior"
"no existencia" "Ser humano"
"No ser" "Ser humano"
Espuria autenticidad
irrealidad Realismo
falsedad "la verdad"
Solidez Herencia
Simpatía Alopatía
"Matrimonio mixto" "Matrimonio mixto"
desempleo empleo
trastorno orden
inestabilidad estabilidad
"estado de guerra" paz
inmunodeficiencia Inmunocompetencia
"guerra Fría" "Guerra caliente"
oscuridad iluminación
culpabilidad inocencia
inestabilidad equilibrar
Inmóvil movimiento
sobriedad intoxicación
somnolencia insomnio
insomnio Hipersomnia
Anestro estro
Hipocapnia Hipercapnia
hipotermia Hipertermia
potencia impotencia
Fertilidad esterilidad
"problema de salud" "buena salud"
"Trastorno orgánico" "Trastorno funcional"
Bienestar Malestar
Hipoparatiroidismo Hiperparatiroidismo
Hipotensión "alta presion sanguinea"
Hipotiroidismo Hipertiroidismo
Hipovolemia Hipervolemia
Hipocalcemia Hipercalcemia
Hipopotasemia Hipercalemia
Hiponatremia Hipernatremia
Hipopigmentación Hiperpigmentación
Hipoglucemia Hiperglucemia
"enfermedad mental" "salud mental"
locura Sanidad
"Depresión psicótica" "Depresión neurótica"
elación depresión
alto "espíritus bajos"
unificación separación
continuidad discontinuidad
Conectividad Desconexión
Cohesión incoherencia
Disociación asociación
declinación mejora
Inmadurez madurez
verdura madurez
oscuridad prominencia
deshonra Laureles
oprobio celebridad
desestimar "el respeto"
"mala fama" reputación
infamia fama
Incomodidad Comodidad
Malestar bienestar
vacío plenitud
Vacío solidez
Imperfección "Ne plus ultra"
Incompleto "lo completo"
Varo Valgo
desgracia "buena fortuna"
insolvencia solvencia
Imposibilidad Posibilidad
Impureza Pureza
empobrecimiento Riqueza
Insalubridad Sanidad
Inmundicia limpieza
Desorden orden
anormalidad normalidad
Atípico Tipicidad
"Contaminación no biodegradable" "Contaminación biodegradable"
ciclón anticiclón
Inclementes "buen tiempo"
Susceptibilidad Inesceptibilidad
"Falta de agua" humedad
peligro "la seguridad"
inseguridad seguridad
Inseguridad Seguridad
Atonía Tonicidad
"falta de aptitud" "aptitud física"
hipermetropía miopía
Heterocigosidad Homocigosis
Hipotonicidad Hipertonicidad
"gasolina sin plomo" "Gasolina con plomo"
Inhibidor activador
Anticatalizador acelerador
"no conductor" conductor
"ADN no codificante" "Codificación de ADN"
"Bajo explosivo" "altamente explosivo"
"agua suave" "agua dura"
"agua dulce" "agua salada"
Exotoxina Endotoxina
"Tiempo de actividad" "falta del tiempo"
"Tiempo libre" "tiempo de trabajo"
"tiempo por venir" "tiempos pasados"
"día de descanso" "día de trabajo"
fallecimiento nacimiento
minoría "edad legal"
noche luz
"puesta del sol" "Descanso del dia"
"solsticio de invierno" "solsticio de verano"
"Equinoccio de septiembre" "equinoccio de primavera"
"tiempo extra" "Tiempo de regulación"
"fuera de temporada" "Temporada alta"
"estación seca" "temporada de lluvias"
"Parte inferior de la entrada" "Parte superior de la entrada"
medio "tiempo de empezar"
finalizando "tiempo de empezar"
finalizando medio
aspirar exhalar
"ser activo" descanso
despertar "Coger algunos Z&#39;s"
"Un evento" hibernar
"cobrar vida" "quedarse dormido"
apagar "golpear el saco"
"Causar dormir" despertarse
"traer alrededor" anestesiar
estimular tranquilizar
Desenergizar estimular
Desgaste Refrescar
"Hacer relajado" tensarse
descomprimir tensarse
llorar "Expresar alegría"
reprender "vestirse con demasiada elegancia"
ponerse "perder peso"
"desnudarse, quitarse toda la ropa" vestirse
"desnudarse, quitarse toda la ropa" Habilitar
"Ropa interior" Overcloth
escabullirse ponerse
fracasar "Llevar a término"
calmar irritar
cuidate sufrir
"mantener bajos" regurgitar
desinfectar infectar
recuperar deteriorarse
permanecer cambio
Desdiferenciar diferenciar
Desmistificar Mitologizar
incrementar disminución
Disimular asimilar
debilitar vitalizar
empobrecer enriquecer
añadir "para llevar"
Desordenar Despejar
Inactivar activar
vigorizar amortiguar
falsificar correcto
mejorar disminución
exacerbar mejorar
hidratar desecar
secar mojado
Deshumidificar Hidratar
desbloquear bloquear
desacoplar contratar
debilitar fortalecer
oxidar desoxidar
explotar "reducir proporcionalmente"
extendido contrato
tramo contrato
elaborar Escudos
retrógrado "venir también"
rejuvenecer años
Indurado ablandar
descanso renovarse
desinflar inflar
alcalinizar acidificar
empeorar recuperarse
descongelar inmovilizar
desestabilizar estabilizar
desensibilizar Sensibilizar
posfechar antedatar
Melanizar blanquear
oscurecer aligerar
Colorear descolorar
Escalar intensificar
afear embellecer
Desafinado afinar
descalificar calificar
contrato ensanchar
tomar "dejar salir"
explotar Implosionar
Hidrogenar Deshidrogeno
Focalizar difuminar
Focalizar nublar
apreciar depreciar
alargar acortar
Desmaterializar materializar
Terminar empezar
Terminar "llevar fuera"
nacer "Dinero en efectivo"
romper unificar
calentar enfriarse
hervir congelar
Despersonalizar individualizar
estimular sofocar
aplanar afilar
Desincronizar sincronizar
incorporar desintegrarse
desimantar magnetizar
complicar simplificar
descomprimir presurizar
Desconcentrar concentrado
"Summerize traducción" "preparar para el invierno"
desnacionalizar nacionalizar
desnaturalizar naturalizar
emigrar inmigrar
aflojar endurecer
Detransitivar Transitivizar
desaparecer Aparecer
desaparecer "venir también"
maximizar minimizar
"aumentar proporcionalmente" "reducir proporcionalmente"
Inspire Delgado
menguar montar
menguar completo
enrollar desplegar
acortar diversificarse
decelerar acelerar
invalidar validar
llena descarga
"Hacer lleno" vacío
leche homogenizar
Sostener prisa
Sonar calmar
sesgar "póngase en fila"
contaminar descontaminar
descalcificar calcificarse
Desmoldar emulsionar
Nazificar Denazificar
nitrificar Desnaturalizar
habilitar incapacitar
"primer plano" fondo
Desmitificar mistificar
Ionizar Desionato
Desiodato Yodato
Orientalizar Occidentalizar
desalinizar Salino
descifrar lucha
Decrescendo crescendo
virar espalda
Desalinizar Estalinizar
ignorar Conocer
"perder pista" "Seguir la pista"
"quedarse el duda" "llamar de vuelta"
olvidar "tener en cuenta"
olvidar recuerda
"Tomar en serio" omitir
incluir dejar
espiritualizar Literalizar
sustraer "añadirlos a la vez"
fracción multiplicar
integrar diferenciar
Sintetizar Descompostura
mejorar degradar
refutar demostrar
contradecir justificar
sobreestimar subestimar
desaprobar aprobar
"tener pocas ganas de" disponer
"no creer" creer
aceptar rechazar
réprobo aprobar
