~vet_glean_symptoms.0.0  #! not the name
~vet_glean_symptoms.84.0  #! my cat has an infection
~vet_glean_symptoms.85.0  #! parasite
~vet_glean_symptoms.86.0  #! difficulty chewing
~vet_glean_symptoms.87.0=TEETH  #! toothache
~vet_glean_symptoms.88.0=FAT  #! fat
~vet_glean_symptoms.89.0=PEE  #! pee
    ~vet_glean_symptoms.89.1  #! blood in his pee
    ~vet_glean_symptoms.89.2  #! unable to pee
    ~vet_glean_symptoms.89.3  #! peeing on the bed
~vet_glean_symptoms.90.0=POOP  #! poop
    ~vet_glean_symptoms.90.1  #! blood in his poop
    ~vet_glean_symptoms.90.2  #! unable to poop
    ~vet_glean_symptoms.90.3  #! other poop
~vet_glean_symptoms.91.0  #! using the litter box
~vet_glean_symptoms.92.0  #! straining over litter box
~vet_glean_symptoms.93.0  #! constipated
~vet_glean_symptoms.94.0  #! has diabetes
~vet_glean_symptoms.95.0  #! his mouth smells
~vet_glean_symptoms.96.0  #! licking genital
~vet_glean_symptoms.97.0  #! licking her skin
~vet_glean_symptoms.98.0  #! depressed
~vet_glean_symptoms.99.0  #! lethargic
~vet_glean_symptoms.100.0  #! not move
~vet_glean_symptoms.101.0  #! lost a lot of hair
~vet_glean_symptoms.102.0  #! abnormal breathing
~vet_glean_symptoms.103.0  #! ear discharge
~vet_glean_symptoms.104.0  #! flea
~vet_glean_symptoms.105.0  #! urinates frequently
~vet_glean_symptoms.106.0  #! weightloss
~vet_glean_symptoms.107.0  #! chews my shoes
~vet_glean_symptoms.108.0  #! sharpen claw
~vet_glean_symptoms.109.0  #! irritable
~vet_glean_symptoms.110.0  #! fights a lot
~vet_glean_symptoms.111.0  #! attack people
~vet_glean_symptoms.112.0  #! chases birds
~vet_glean_symptoms.113.0  #! wont go outside
~vet_glean_symptoms.114.0  #! hides
~vet_glean_symptoms.115.0  #! not house trained
~vet_glean_symptoms.116.0  #! weird behavior
~vet_glean_symptoms.117.0=BODYPART  #! her head 
~vet_glean_symptoms.117.0=BODYPART  #! Her head hurts. 
