
##<<GERMAN 
concept: ~numberoperator()
Weiß schwarz
Kegel-Datei blunt-Datei
Generika "proprietäres Medikament"
"offener Kreislauf" "Geschlossener Stromkreis"
Ready-made custom-built
"Nicht-dedizierte Dateiserver" "dedizierte Dateiserver"
Feuchtkugelthermometer Trockenkugelthermometer
Naßfliege Trockenfliege
"intelligente Bombe" "Schwere Bombe"
"Galvanische Zelle" Elektrolysezelle
Einfuhr Ausfuhr
lokal ausdrücken
"langsame Spur" Überholspur
Thermoreaktor "schneller Reaktor"
Rückseite Vorderseite
Rasenmäher Handrasenmäher
"weich Droge" "harte Droge"
"Computer Software" Computerhardware
Schwanz Kopf
out-Korb "im Korb"
Steuerbord Backbord
Studio Lage
stabil Mobile
"flüchtigen Speicher" "nichtflüchtigen Speicher"
umkehren Vorderseite
unmentionable Oberbekleidung
"verschreibungspflichtige Arzneimittel" "Rezeptfreie Medikamente"
Statorspule Rotorspule
"Oberfläche Schiff" Tauchkriegsschiff
Innerlichkeit Äußerlichkeit
Weltlichkeit Jenseitigkeit
Introvertiertheit Extravertiertheit
ambiversion Extravertiertheit
ambiversion Introvertiertheit
emotionlessness Emotionalität
uncheerfulness Fröhlichkeit
inactiveness active
unpermissiveness Freizügigkeit
"krank Natur" Gutmütigkeit
Ungeduld Nachsicht
Unangenehme agreeableness
Stumpfheit Schärfe
involuntariness Bereitschaft
frivolousness Ernsthaftigkeit
Verschlossenheit Mitteilsamkeit
unsociableness Kontaktfreudigkeit
Geheimnistuerei Nacktheit
Unfreundlichkeit Freundlichkeit
Unzugänglichkeit Zugänglichkeit
uncongeniality congeniality
unneighborliness Gutnachbarlichkeit
inhospitableness hospitableness
unadaptability Anpassungsfähigkeit
Inflexibilität Flexibilitäten
unthoughtfulness Nachdenklichkeit
Unaufmerksamkeit Aufmerksamkeit
Nachlässigkeit Sorgfalt
unmindfulness Achtsamkeit
incautiousness Vorsicht
Unvorsichtigkeit Vorsicht
Weiblichkeit Männlichkeit
Unzuverlässigkeit Vertrauenswürdigkeit
irresponsibleness responsibleness
undependableness dependableness
unconscientiousness Gewissenhaftigkeit
Haarlosigkeit Behaarung
Hässlichkeit Schönheit
unpleasingness pleasingness
unattractiveness Attraktivität
Undurchsichtigkeit uncloudedness
Undeutlichkeit Deutlichkeit
Beschränktheit Schärfe
Unauffälligkeit Auffälligkeit
Unauffälligkeit Aufdringlichkeit
Schwierigkeitsstufen Einfachheit
effortfulness Mühelosigkeit
Unvereinbarkeit Kompatibilität
incongruousness congruousness
unsuitableness suitableness
Unangemessenheit Angemessenheit
infelicity Glückseligkeit
inappositeness appositeness
Untauglichkeit Angemessenheit
Sperre Förderfähigkeit
Unversicherbarkeit Versicherbarkeit
Unbequemlichkeit Bequemlichkeit
inopportuneness Opportunität
Unzugänglichkeit Zugänglichkeit
Minderwertigkeit "gute Qualität"
Unveränderlichkeit Wandelbarkeit
Irreversibilität Reversibilität
Konstanz changefulness
invariableness Veränderlichkeit
unvariedness Vielseitigkeit
unexchangeability interchangeableness
inconvertibility Konvertierbarkeit
immutableness mutableness
Unabänderlichkeit Veränderlichkeit
Unterschied Gleichheit
Unähnlichkeit Ähnlichkeit
dissimilitude Ähnlichkeit
Uneinheitlichkeit Gleichförmigkeit
heterogeneousness Gleichartigkeit
Inkonsistenz Konsistenz
Ungleichheit Gleichberechtigung
Nichtaquivalenz Gleichwertigkeit
Unebenheit Ebenheit
Prekarität "vorab beschlossene Sache"
Unentschlossenheit Schlüssigkeit
Unberechenbarkeit Vorhersagbarkeit
improbableness Wahrscheinlichkeit
Unwahrscheinlichkeit Wahrscheinlichkeit
counterfactuality factualness
Abstraktheit Konkretion
intangibleness tangibleness
Unkörperlichkeit Körperlichkeit
Substanzlosigkeit Wesentlichkeit
Unwirklichkeit Wirklichkeit
Allgemeinheit Besonderheit
Gemeinsamkeit Individualität
Komplexität Einfachheit
Unregelmäßigkeit Regelmäßigkeit
Variabilität Unveränderlichkeit
Unsicherheit Gleichmäßigkeit
Unbeweglichkeit Mobilität
Immotilität Motilität
Unbeweglichkeit movableness
Dichtheit Lockerheit
stableness unstableness
Lockerheit Sicherheit
Unangenehme Freundlichkeit
Gemeinheit Nettigkeit
Unglaublichkeiten Glaubwürdigkeit
implausibleness plausibleness
illogicalness logicalness
Unnatürlichkeit Natürlichkeit
affectedness unaffectedness
pretentiousness Anspruchslosigkeit
Ungesundheit Bekömmlichkeit
unhealthfulness healthfulness
insalubriousness Bekömmlichkeit
Unbefriedigende satis
Unangemessenheit Adäquat
unacceptableness Annehmbarkeit
Unzulässigkeit Zulässigkeit
Unzulässigkeit Zulässigkeit
Außergewöhnlichkeit Alltäglichkeit
Unerwartete expectedness
Ungewöhnlichkeit Alltäglichkeit
Ungewöhnlichkeit usualness
unfamiliarity Vertrautheit
Ursprünglichkeit Fremdheit
Unoriginalität Originalität
Orthodoxie unorthodoxy
Konventionalität Unkonventionalität
Unrichtigkeit Richtigkeit
Ungenauigkeit Genauigkeit
Ungenauigkeit Genauigkeit
impreciseness Genauigkeit
Fehlbarkeit Unfehlbarkeit
Irre Unfehlbarkeit
Unwürdigkeit Würdigkeit
Unbeliebtheit Popularität
Rechtswidrigkeit Rechtmäßigkeit
Gesetzwidrigkeit Rechtmäßigkeit
Unrechtmäßigkeit Legitimität
Unerlaubtheit licitness
Uneleganz Eleganz
Geschmacklosigkeit tastefulness
Urbanität Ländlichkeit
Unverständlichkeit Verständlichkeit
Unleserlichkeit Lesbarkeit
Unverständlichkeit Verständlichkeit
Unklarheit pellucidity
reconditeness pellucidity
"lexikalische Mehrdeutigkeit" monosemy
Mehrdeutigkeit Eindeutigkeit
inexplicitness Eindeutigkeit
Untugend Gerechtigkeit
impiousness Frömmigkeit
Gottlosigkeit Frömmigkeit
Unmenschlichkeit Menschlichkeit
Unbarmherzigkeit Barmherzigkeit
Geiz Großzügigkeit
illiberality Liberalität
Selbstsucht Selbstlosigkeit
Ichbezogenheit Selbstlosigkeit
Ungerechtigkeit Fairness
Unfreundlichkeit Güte
maleficence Wohltätigkeit
Malignität Liebenswürdigkeit
Rücksichtslosigkeit considerateness
Taktlosigkeit Feingefühl
Unempfindlichkeit Empfindlichkeit
unperceptiveness Auffassungsgabe
Unmoral Moral
Unrichtigkeit Richtigkeit
Bösartigkeit Güte
Ungerechtigkeit Gerechtigkeit
Unrechts rightfulness
Unbestechlichkeit Bestechlichkeit
incorruptness Verderbtheit
Unheiligkeit sanctitude
Gefährlichkeit Sicherheit
incurableness curableness
Feigheit courageousness
Kleinmut stoutheartedness
Ängstlichkeit Furchtlosigkeit
Ängstlichkeit Widerstandsfähigkeit
Feigheit Unerschrockenheit
Unentschlossenheit "Festigkeit der Zweck"
Unentschlossenheit Entschieden
Unaufrichtigkeit Aufrichtigkeit
dishonourableness Ehrenhaftigkeit
entehren Ehre
Skrupellosigkeit Gewissenhaftigkeit
unrespectability Seriosität
Unehrlichkeit honestness
Unwahrhaftigkeit Wahrhaftigkeit
Verlogenheit Richtigkeit
disingenuousness Einfalt
List artlessness
Untreue Treue
Untreue trueness
Naivität Raffinesse
Disziplinlosigkeit Disziplin
Zügellosigkeit Zurückhaltung
Unmäßigkeit Mäßigkeit
Demut conceitedness
Torheit Weisheit
Unvorsichtigkeit Klugheit
Kurzsichtigkeit Vorsehung
distrustfulness trustingness
Unsauberkeit Sauberkeit
Unordnung Sauberkeit
improperness correctitude
indecorousness decorousness
"politische Unkorrektheit" "politische Korrektheit"
Unschicklichkeit seemliness
unbecomingness becomingness
Unanständigkeit Anstand
Schamlosigkeit modestness
Fassungslosigkeit Gleichmut
intractableness tractableness
Wildheit Domestizierung
Ungehorsam Gehorsam
Gehorsamsverweigerung Unterordnung
Ungezwungenheit formal
unceremoniousness Feierlichkeit
Unhöflichkeit "gute Manieren"
Unhöflichkeit Höflichkeit
ungraciousness Liebenswürdigkeit
Unhöflichkeit Höflichkeit
Anisotropie Isotropie
Indirektheit Geradheit
mediateness Unmittelbarkeit
Neuheit oldness
Veralterung Frische
youngness oldness
"Befehlssatz reduziert" "komplexen Befehlssatz"
Dünnheit Dicke
Weichheit Härte
incompressibility Kompressibilität
unbreakableness breakableness
Solidität porousness
Undurchlässigkeit permeableness
Undurchdringlichkeit penetrability
nonabsorbency Saugfähigkeit
raggedness Glätte
Dumpfheit Helligkeit
Farblosigkeit Färbung
"unbunten Farbe" "chromatische Farbe"
Weiße Schwärze
Depigmentierung Pigmentierung
Dunkelheit Leichtigkeit
Schweigen klingen
Dissonanz Harmonie
Niederfrequenz Hochfrequenz
Weichheit Intensität
unpalatableness palatableness
unappetizingness appetizingness
indigestibleness Verdaulichkeit
Magerkeit avoirdupois
Kürze Größe
Ungeschicklichkeit Anmut
inanimateness animateness
insentience Empfindungsvermögen
feminineness Männlichkeit
"hohe Temperatur" "niedrige Temperatur"
Nichtwahrnehmbarkeit Wahrnehmbarkeit
Unsichtbarkeit visible
inaudibleness audible
inelasticity Elastizität
unmalleability Formbarkeit
inflexibleness Flexibilitäten
Schwerelosigkeit Gewichtigkeit
"die Schwäche" Stärke
"schwachen Teil" "guter Teil"
Unzurechnungsfähigkeit Solidität
Verwundbarkeit Unverwundbarkeit
Alkalinität Säure
Unzerstörbarkeit destructibility
Verspätung earliness
subsequentness antecedence
Verspätung Pünktlichkeit
unseasonableness Rechtzeitigkeit
Gegenwärtigkeit Vergangensein
Zukunft Vergangensein
Gegenwärtigkeit Zukunft
Kürze Longness
Unbeständigkeit Dauerhaftigkeit
Unsterblichkeit Mortalität
Asymmetrien Symmetrie
"radiale Asymmetrie" Radialsymmetrie
gradualness precipitousness
Rundheit Winkligkeit
unpointedness pointedness
Exzentrizität Rund
crookedness Geradheit
Geradheit Kräuselung
Marginalität Zentralität
posteriority Vorzeitigkeit
Innerlichkeit Äußerlichkeit
southernness northernness
Nähe farawayness
Konzentration Verteilung
Oberflächlichkeit profoundness
niedrig hoch
Schlankheit Dicke
Kleinheit Größe
Negativität Bestimmtheit
Abnahme Zuwachs
Insuffizienz Versorgung
Knappheit copiousness
Maßlosigkeit Mäßigkeit
Minderheit Mehrheit
Oberflächlichkeit profoundness
Enge Breite
Niedrigkeit Erhabenheit
Wertlosigkeit wert
demerit Tugend
Unerwünschtheit desirableness
Schlechtigkeit Güte
Elfmeter Vorteil
Preisgünstigkeit Kostspieligkeit
Fruchtlosigkeit Fruchtbarkeit
Unproduktivität Ergiebigkeit
unusefulness Nützlichkeit
Unbrauchbarkeit Praktikabilität
impracticableness practicableness
Undurchführbarkeit feasibleness
Inkompetenz Kompetenz
Haftung Vermögenswert
Nachteil Vorteil
Nutzlosigkeit Einträglichkeit
Unzweckmäßigkeit Zweckmäßigkeit
Schwachstelle "starker Punkt"
Unratsamkeit Zweckmäßigkeit
Ungunst Vorteilhaftigkeit
inauspiciousness auspiciousness
Destruktivität Konstruktivität
Bedeutungslosigkeit Bedeutung
Bedeutungslosigkeit Bedeutung
Sinnlosigkeit Aussagekraft
Zwecklosigkeit Zielstrebigkeit
"als Folge" Folge
Wesenlosigkeit Wesentlichkeit
dispensableness indispensableness
Ohnmacht powerfulness
unpersuasiveness Überzeugungskraft
uninterestingness Interestingness
Unwirksamkeit Wirksamkeit
inefficaciousness efficaciousness
Unfähigkeit Fähigkeit
incapableness Tauglichkeit
Unfähigkeit Kapazität
Beschränktheit Unbegrenztheit
Unlöslichkeit Löslichkeit
Pessimismus Optimismus
Teilnahmslosigkeit Empfänglichkeit
Unlösbarkeit Lösbarkeit
Beugemuskel Streckmuskel
"sensorischen Rezeptor" Effektor
Mark Kortex
injudiciousness Umsicht
Dummheit Intelligenz
Unfähigkeit Eignung
Unfähigkeit "mentale Fähigkeit"
incapableness Möglichkeit
imperfectibility Vervollkommnungsfähigkeit
uncreativeness "kreatives Denken"
Höllenregion Himmel
Analphabetismus Alphabetisierung
Ungeschicklichkeit Geschicklichkeit
"in Abstimmung" Koordinierung
disfluency Geläufigkeit
Ineffizienz Effizienz
kinanesthesia "Gefühl der Bewegung"
Beute-System Verdienst-System
Bewusstlosigkeit Bewusstsein
incognizance Bewusstsein
Unbefangenheit Selbstbewusstsein
Unempfindlichkeit Sensibilität
Schlafen Aufwachen
Zweifelhaftigkeit Sicherheit
Unaufmerksamkeit Aufmerksamkeit
Unaufmerksamkeit aufpassen
Unerfahrenheit Erfahrung
"synthetisches Denken" "analytisches Denken"
out-of-the-box-Denken "konvergentes Denken"
Unverständnis Verständnis
General besonderen
Missverständnis Konzeption
Antitypos Art
Divergenz Konvergenz
Mitte Anfang
Ende Anfang
Ende Mitte
Realitätsprinzip Lust-Unlust-Prinzip
Yin yang
Boden Zahl
Unglauben Glauben
cataphatism Apophatismus
"Lehre von der Analogie" Apophatismus
"Lehre von der Analogie" cataphatism
Nachahmung Formalismus
Nationalismus Internationalismus
Pluralismus Monismus
Nationalismus Multikulturalismus
hereditarianism Umweltschutz
Unerleuchtetseins Aufklärung
"unbeschränkte Intervall" "beschränkten Intervall"
cacogenics Eugenik
"ganzheitliche Theorie" "atomistische Theorie"
Korpuskeltheorie "Wellentheorie des Lichts"
"Romantische Bewegung" Klassizismus
"normativ Linguistik" "deskriptive Linguistik"
Athanasianismus Arianismus
Parteilichkeit Parteinahme
"Messe Heit" Ungerechtigkeit
Intoleranz Toleranz
Engstirnigkeit Großzügigkeit
Respektlosigkeit "die Achtung"
Respektlosigkeit Ehrfurcht
nonconformance Konformität
hawkishness dovishness
Theismus Gottlosigkeit
Polytheismus Monotheismus
Rückseite Schön-
E-Mail Schneckenpost
"Äquivalent Wort" "entgegengesetzte Wort"
Einzahl Plural
"schrägen Fall" Nominativ
Missdeutung "grammatische Konstruktion"
"gängiges Substantiv" Eigenname
Flash-forward Rückblende
Textausgabe Handelsausgabe
Source-Programm Objektprogramm
Dysphemismus Euphemismus
"Surface Mail" Luftpost
inhospitality "herzlichen Empfang"
con Profi
Nicht-Intervention Intervention
Missbilligung Lob
Missbilligung Billigung
Entmutigung Förderung
Lüge "wahre Aussage"
Indizien "direkte Beweise"
Universal-Satz "insbesondere Satz"
syncategoreme categoreme
Understatement Übertreibung
Kontraindikation Indikation
"Römische Ziffer" "Hindu-arabischen Ziffer"
Index Hochgestellt
Kleinbuchstaben Großbuchstabe
Proportionalschrift "konstanter Breite Schrift"
"alten Stil Schriftart" "moderne Schrift"
Atonalität Tonalität
"Natürliche Sprache" "künstliche Sprache"
"eindimensionale Sprache" "mehrdimensionale Sprache"
"ungeschichtet Sprache" "geschichteten Sprache"
Tragödie Komödie
"polyphone Musik" "monophon Musik"
Lösung Vorbereitung
Verminderung Augmentation
verboseness Knappheit
Konsonant Vokallaut
"continuant Konsonant" "plosive Sprachklang"
"direkten Diskurs" "indirekte Rede"
Uneinigkeit Zustimmung
Antworten Verhör
Negativ positiv
nein ja
dissuasion Überzeugung
Schlussfolgerung Anfang
disembarrassment Verlegenheit
Erfolg Fehler
Tod Geburt
Eintauchen emersion
Untergang "erhebt euch"
"erhöhen, ansteigen" Verringerung
Levitation Gravitation
Aufstieg fallen
"niedriges Wasser" Hochwasser
Flut Ebbe
Springflut Nipptide
abnehmend Wachsen
Selbstbefruchtung Kreuzbefruchtung
autogamy Allogamie
Selbstbestäubung Kreuzbestäubung
"Rotation gegen den Uhrzeigersinn" "Drehung im Uhrzeigersinn"
Lecken Sieg
anaphrodisia aphrodisia
Schmerzhaftigkeit Lustgarten
"nicht gefallen" Geschmack
Unlust Neigung
Missbilligung "die Genehmigung"
Anglophobia Anglophilie
misogynism philogyny
Undankbarkeit Dankbarkeit
Unbekümmertheit betreffen
Demut pridefulness
Feierlichkeit Leichtfertigkeit
Ruhe Agitation
Vertrauen "Selbst Misstrauen"
Unglück Glück
Trauer joyousness
Dysphorie Euphorie
discontentedness Zufriedenheit
Unzufriedenheit Befriedigung
Verzweiflung Hoffnung
Hoffnungslosigkeit hopefulness
Liebe Hass
Böswilligkeit Wohlwollen
Verstimmung "guter Humor"
"kochen Apfel" "Dessert Apfel"
Vollmilch Magermilch
sortenrein "generic Wein"
jung alt
vorsichtig mutig
Leben tot
uninitiate erleuchtet
Vegetation Zoologie
Strafverfolgung Strafverteidiger
"verteidigende Mannschaft" Angriff
temporalty Klerus
"reiche Leute" "arme Leute"
"singuläre Matrix" "nichtsingulär Matrix"
nonalignment Koalition
"sozialistischen Wirtschaft" "kapitalistische Wirtschaft"
"ohne Marktwirtschaft" Laissez-faire-Wirtschaft
feindlich freundlich
Internat Tagesschule
Abendschule Tagesschule
"internationales Recht" Zivilrecht
Rückseite Kopf
Dort Hier
antapex "Spitze der Art und Weise der Sonne"
Perigäum Höhepunkt
"Punkt Periapsis" "Punkt Apoapsis"
Perihel aphelion
perijove apojove
periselene aposelene
"absteigend Knoten" "aufsteigenden Knoten"
Bauchs Knoten
Kopf Fuß
Rückseite "Vorderes Ende"
äußere Innere
windwärts Lee-Seite
Minimum maximal
Zenit Nadir
links Recht
Vorderseite zurück
"besiedelten Gebiet" "ländliches Gebiet"
"freien Zustand" Slave-Zustand
"abschreckend wirken" Anreiz
adience abience
Deklination acclivity
"offene Kette" "geschlossene Kette"
Nebenfluss distributary
Flachland Hochland
Staatsgewässer "internationalen Gewässern"
Anforderung nicht-essentiellen
"natürliche Erhebung" "natürliche Depression"
"Guter Geist" cacodaemon
"juvenile Person" aufgewachsen
Befreier capturer
"männliche Person" "weibliche Person"
Anhänger Führer
"religiöse Person" "nonreligious Person"
Arbeitnehmer nonworker
Trinker nondrinker
Beschwerdeführer Beklagte
"erfolglosen Person" succeeder
Fremder Bekanntschaft
Agonisten Antagonist
Feind Freund
Professional Amateur
Nachkomme vorgängigen
Onkel Tante
"gutes Ei" "schlechtes Ei"
"guter Kerl" "schlechter Typ"
"gute Person" "schlechte Person"
Stier Bär
Darlehensgeber Kreditnehmer
Schwester Blutsbruder
Elternteil Kind
noncitizen Bürger
Militärpersonal Zivilist
romanticist klassizistische
Laie "Mann des Tuches"
progressive conservativist
Nonkonformist Konformist
Anglikanisch Nonkonformist
debitor Gläubiger
Sohn Tochter
"Krieg Habicht" peacenik
"Militär Freiwilligen" conscript
nondriver Treiber
elitär egalitäre
"nüchterne Person" "emotionaler Mensch"
Arbeitgeber Mitarbeiter
"legen Zeugnis" Gutachter
introvertiert extrovertiert
"weiblicher Elternteil" "männliches Elternteil"
"Haut und Knochen" "Dicker Mensch"
"männlich Aristokrat" "weibliche Aristokrat"
"männliche Nachkommen" "weiblichen Nachkommen"
"männlich Geschwister" "weibliche Geschwister"
"männliches Kind" "weibliches Kind"
withholder granter
Thronfolger Thronfolger
"Verheiratete Frau" "verheirateter Mann"
übergeordnete minderwertig
ambulant stationäre
"weibliche Monarchen" "männlich Monarch"
Edelmann Edelfrau
"Straight Shooter" prevaricator
necessitarian libertären
"totgeborenen Kind" "lebend geborenen Säugling"
Gewinner Verlierer
Gewinner "ferner liefen"
Splitter Lumper
"erwachsene Frau" "männlichen Erwachsenen"
Frau Mann
Sadist Masochist
Nicht-Mitglied Klubkamerad
Nichte Neffe
drumbeater überparteiliche
Einwohner "nicht ansässige"
"Tabak Benutzer" Nichtraucher
Pessimist Optimist
coenobite eremite
specializer "Mann der Renaissance"
stander sitter
Universal-Agent Spezialagent
technophobe technophile
Gleichstrom "elektrischen Wechselstrom"
Abstoßungskraft Anziehungskraft
Zentripetalkraft Zentrifugalkraft
"negative Ladung" "positive Ladung"
Transparenz Opazität
"pleurocarpous Moos" "acrocarpous Moos"
Kryptogamen Phanerogamae
Pilz Pilz
Gras Kulturpflanze
Laubwerk immergrün
"rote Tinte" gewinnen
Ausgaben Einkommen
"knappes Geld" "leichtes Geld"
Papierverlust "Papier Gewinn zu erzielen"
losings Gewinn
nonremittal Zahlung
"ungesicherte Anleihe" "gesicherte Bindung"
Margin-Konto Bankkonto
"passive Vertrauen" "aktiv Vertrauen"
"sofortige Bezahlung" Stundung
Abbuchung Gutschrift
Cash-Basis periodengerecht
"über die Theke Sicherheit" "kotierten Sicherheit"
Inaktivierung Aktivierung
"destruktiven Stoffwechsel" "konstruktiven Stoffwechsel"
katamorphism Anamorphismus
vermiculation anastalsis
Ovulation Anovulation
Synchronbetrieb "asynchronen Betrieb"
Reprise caenogenesis
"steigende Preise" Deflation
Disinflation Deflation
Entwicklung Degeneration
liefern Nachfrage
"steigende Preise" Disinflation
nondevelopment Entwicklung
Deflationsspirale Inflationsspirale
effluence Zufluss
"reversibler Prozess" "irreversibler Prozess"
"aufeinanderfolgenden Betrieb" Simultanbetrieb
Quelle sinken
führen Defizit
"aliquant Teil" "aliquoten Teil"
Höchstgrenze "untere Grenze"
Beziehungslosigkeit Verbundenheit
Irrelevanz Relevanz
Immaterialität Wesentlichkeit
Unanwendbarkeit Anwendbarkeit
Beziehungslosigkeit Verwandtschafts
intransitiveness Transitivität
"passive Stimme" "Aktive Stimme"
Verwandtschafts Affinität
Lee windwärts
Desynchronisation Synchronisation
letztere ehemalige
"konkaven Polygons" "konvexes Polygon"
"gerade Linie" "gebogene Form"
"rechtwinkliges Dreieck" "schiefe Dreieck"
Trapez Parallelogramm
"wichtigsten Winkel" "reentering Winkel"
"schiefen Winkel" "rechter Winkel"
Missverhältnis Anteil
Dystopie Utopie
Ablehnung Annahme
Gleichgewicht Ungleichgewichts
Aufnahme Ausschluss
Astigmatismus stigmatism
"niedrigen Status" "hoher Status"
Front-Brenner Sparflamme
Nicht-Existenz Seiendheit
Nicht-Sein Seiendheit
spuriousness Echtheit
Unwirklichkeit realness
Falschheit "der wahre"
thereness hereness
Sympatrie allopatry
Mischehe Mischehe
Arbeitslosigkeit Beschäftigung
Störung Auftrag
Instabilität Stabilität
Kriegszustand Frieden
Immunschwäche immunocompetence
"kalter Krieg" "heißen Krieg"
Dunkelheit Beleuchtung
guiltiness Unschuld
Instabilität Balance
Bewegungslosigkeit Bewegung
Nüchternheit Rausch
Schläfrigkeit Schlaflosigkeit
Schlaflosigkeit Hypersomnie
Anöstrus Brunst
Hypokapnie Hyperkapnie
Unterkühlung Hyperthermie
Potenz Impotenz
Fruchtbarkeit Unfruchtbarkeit
Gesundheitsproblem "gute Gesundheit"
"organische Störung" Funktionsstörung
Wellness unwellness
hypoparathyroidism Hyperparathyreoidismus
Hypotension Bluthochdruck
Hypothyreose Hyperthyreose
Hypovolämie Hypervolämie
Hypokalzämie Hyperkalzämie
Hypokaliämie Hyperkaliämie
Hyponatriämie hypernatremia
hypopigmentation Hyperpigmentierung
Hypoglykämie Hyperglykämie
Geisteskrankheit "Psychische Gesundheit"
Wahnsinn saneness
"psychotische Depression" "neurotische Depression"
Begeisterung Depression
hoch "gedrückte Stimmung"
Vereinigung Trennung
Kontinuität Diskontinuität
Verbundenheit disconnectedness
Zusammenhalt Zusammenhanglosigkeit
Verfremdung Verband
Deklination Verbesserung
immatureness Reife
Grün Reife
Dunkelheit Bedeutung
entehren Lorbeeren
Schande Berühmtheit
disesteem "die Achtung"
Verruf Ruf
Schande Ruhm
Unbehaglichkeit Behaglichkeit
Unwohlseins Wohlbefinden
Leere Fülle
Hohlheit Solidität
Unvollkommenheit Nonplusultra
Unvollständigkeit Vollständigkeit
Varus valgus
Unglück Glück
Insolvenz Zahlungsfähigkeit
impossibleness possible
impureness Reinheit
Verarmung Reichtum
unsanitariness Hygiene
Unreinheit Sauberkeit
Unordentlichkeit Ordentlichkeit
Anomalie Normalität
untypicality Typizität
"nonbiodegradable Verschmutzung" "biologisch abbaubare Verschmutzung"
Zyklon Antizyklon
inclementness "gutes Wetter"
susceptibleness Unempfindlichkeit
waterlessness Nässe
Achtung Sicherheit
Unsicherheit Sicherheit
insecureness Sicherheit
atonicity Tonus
Untauglichkeit "körperliche Fitness"
Weitsichtigkeit Kurzsichtigkeit
Heterozygotie homozygosity
Hypotonizität Hypertonus
"Bleifreies Benzin" "verbleites Benzin"
Inhibitor Aktivator
anticatalyst Beschleuniger
nonconductor Dirigent
"nicht-kodierenden DNA" "codierende DNA"
explosive "hoch Explosiv"
