arg1 sensekey,arg1 offset,relation,arg2 sensekey,arg2 offset
brick%1:06:00::,102897820,action,build%2:36:00::,201654628
brick%1:06:00::,102897820,agent,maker%1:18:00::,110284064
brick%1:06:00::,102897820,result,structure%1:06:00::,104341686

brush%1:06:00::,102908217,action,brush%2:35:02::,201243982

brush%1:06:00::,102908217,action,brush%2:30:00::,200555780
brush%1:06:00::,102908217,undergoer,surface%1:15:00::,108660339
brush%1:06:00::,102908217,theme,particle%1:27:01::,114585519

brush%1:06:00::,102908217,action,apply%2:35:00::,201363648
brush%1:06:00::,102908217,undergoer,surface%1:15:00::,108660339
brush%1:06:00::,102908217,theme,liquid%1:27:04::,114940386
brush%1:06:00::,102908217,theme,powder%1:27:00::,114997012

pail%1:06:00::,102909870,action,hold%2:42:13::,202700867
pail%1:06:00::,102909870,action,carry%2:35:02::,201449974
pail%1:06:00::,102909870,theme,object%1:03:00::,100002684
pail%1:06:00::,102909870,theme,liquid%1:27:04::,114940386

bulb%1:06:00::,103665924,action,light%2:30:00::,200291873
bulb%1:06:00::,103665924,theme,area%1:06:00::,102735688
bulb%1:06:00::,103665924,theme,object%1:03:00::,100002684
bulb%1:06:00::,103665924,instrument,electricity%1:19:01::,111450566

bullet%1:06:00::,102916350,action,shoot%2:33:00::,201134781
bullet%1:06:00::,102916350,agent,shooter%1:18:00::,110593115
bullet%1:06:00::,102916350,undergoer,target%1:10:00::,107262108
bullet%1:06:00::,102916350,cause,conflict%1:04:00::,100958896
bullet%1:06:00::,102916350,result,damage%1:11:00::,107420770
bullet%1:06:00::,102916350,instrument,gun%1:06:00::,103467984

bundle%1:06:00::,102919414,action,carry%2:35:02::,201449974
bundle%1:06:00::,102919414,action,store%2:40:00::,202281093
bundle%1:06:00::,102919414,theme,object%1:03:00::,100002684

bus%1:06:00::,102924116,action,transport%2:38:00::,201953810
bus%1:06:00::,102924116,agent,driver%1:18:00::,110034906
bus%1:06:00::,102924116,theme,person%1:03:00::,100007846
bus%1:06:00::,102924116,source,bus_stop%1:15:00::,108517676
bus%1:06:00::,102924116,destination,bus_stop%1:15:00::,108517676
bus%1:06:00::,102924116,location,road%1:06:00::,104096066

button%1:06:00::,102928608,action,fasten%2:35:01::,201340439
button%1:06:00::,102928608,agent,person%1:03:00::,100007846
button%1:06:00::,102928608,theme,cloth%1:06:00::,103309808
button%1:06:00::,102928608,instrument,buttonhole%1:06:00::,102928930

button%1:06:01::,104027023,action,depress%2:35:10::,201574766

cabinet%1:06:00::,102933112,action,store%2:40:00::,202281093
cabinet%1:06:00::,102933112,action,display%2:39:00::,202140033
cabinet%1:06:00::,102933112,theme,object%1:03:00::,100002684

call%1:10:01::,106272803,action,talk%2:32:01::,200962447
call%1:10:01::,106272803,action,communicate%2:32:02::,201070102
call%1:10:01::,106272803,agent,caller%1:18:01::,109888017
call%1:10:01::,106272803,undergoer,respondent%1:18:00::,110524413
call%1:10:01::,106272803,instrument,telephone%1:06:00::,104401088

camera%1:06:00::,102942699,action,photograph%2:32:00::,201003249
camera%1:06:00::,102942699,agent,photographer%1:18:00::,110426749
camera%1:06:00::,102942699,result,photograph%1:06:00::,103925226
camera%1:06:00::,102942699,result,picture%1:06:02::,103925226
camera%1:06:00::,102942699,undergoer,subject%1:06:00::,104347225

candle%1:06:00::,102948072,action,light%2:30:00::,200291873
candle%1:06:00::,102948072,result,light%1:19:00::,111473954
candle%1:06:00::,102948072,result,luminosity%1:07:00::,105018103
candle%1:06:00::,102948072,result,light%1:15:00::,108646188

cane%1:06:01::,102949202,action,support%2:35:00::,201217043
cane%1:06:01::,102949202,agent,walker%1:18:00::,110412055
cane%1:06:01::,102949202,result,support%1:04:01::,101017320

car%1:06:00::,102958343,action,transport%2:38:00::,201953810
car%1:06:00::,102958343,action,drive%2:38:09::,202057656
car%1:06:00::,102958343,agent,driver%1:18:00::,110034906
car%1:06:00::,102958343,theme,passenger%1:18:00::,110403876
car%1:06:00::,102958343,theme,rider%1:18:01::,110403876

rug%1:06:00::,104118021,action,cover%2:35:00::,201332730
rug%1:06:00::,104118021,action,insulate%2:30:01::,200495038
rug%1:06:00::,104118021,action,carpet%2:35:00::,201234920
rug%1:06:00::,104118021,undergoer,floor%1:06:00::,103365592

pram%1:06:00::,102766534,action,cart%1:06:01::,103484083
pram%1:06:00::,102766534,theme,baby%1:18:00::,109827683
pram%1:06:00::,102766534,beneficiary,baby%1:18:00::,109827683

cart%1:06:01::,103484083,action,cart%1:06:01::,103484083
cart%1:06:01::,103484083,agent,carter%1:18:00::,109897914
cart%1:06:01::,103484083,theme,good%1:06:00::,103076708

case%1:06:01::,102975212,action,store%2:40:00::,202281093
case%1:06:01::,102975212,action,display%2:39:00::,202140033
case%1:06:01::,102975212,theme,object%1:03:00::,100002684
case%1:06:01::,102975212,location,shop%1:06:00::,104202417
case%1:06:01::,102975212,location,museum%1:06:00::,103800563
case%1:06:01::,102975212,location,home%1:06:00::,103259505

cassette%1:06:00::,102978881,action,hold%2:42:13::,202700867
cassette%1:06:00::,102978881,theme,tape%1:06:04::,103708036

cell%1:06:04::,102992529,action,telephone%2:32:00::,200789448
cell%1:06:04::,102992529,agent,caller%1:18:01::,109888017
cell%1:06:04::,102992529,result,call%1:10:01::,106272803

chain%1:06:00::,102999410,action,link%2:35:00::,201354673
chain%1:06:00::,102999410,action,chain%2:35:00::,201288636
chain%1:06:00::,102999410,action,secure%2:35:01::,201340439

chair%1:06:00::,103001627,action,seat%2:42:00::,202701962
chair%1:06:00::,103001627,beneficiary,people%1:14:00::,107942152

chalk%1:06:00::,103003091,action,write%2:36:01::,201691057
chalk%1:06:00::,103003091,action,mark%2:30:00::,200508032
chalk%1:06:00::,103003091,agent,writer%1:18:01::,110801291
chalk%1:06:00::,103003091,result,writing%1:10:01::,106359877
chalk%1:06:00::,103003091,result,mark%1:10:03::,106798750

clock%1:06:00::,103046257,action,clock%2:30:00::,200490968
clock%1:06:00::,103046257,undergoer,time%1:03:00::,100028270
clock%1:06:00::,103046257,result,time%1:28:03::,115129927
clock%1:06:00::,103046257,beneficiary,people%1:14:00::,107942152

club%1:06:00::,103053474,action,club%2:35:00::,201423929
club%1:06:00::,103053474,action,beat%2:35:01::,201397210
club%1:06:00::,103053474,agent,hitter%1:18:01::,110178216

coffin%1:06:00::,103064758,action,coffin%2:35:00::,201499948
coffin%1:06:00::,103064758,cause,death%1:11:00::,107355491
coffin%1:06:00::,103064758,theme,corpse%1:08:00::,105218119
coffin%1:06:00::,103064758,destination,cemetery%1:15:00::,108521623
coffin%1:06:00::,103064758,destination,grave%1:06:00::,103455033

column%1:06:01::,103074380,location,monument%1:06:00::,103743902

compact%1:06:01::,103079136,action,transport%2:38:00::,201953810
compact%1:06:01::,103079136,action,drive%2:38:09::,202057656
compact%1:06:01::,103079136,agent,driver%1:18:00::,110034906
compact%1:06:01::,103079136,theme,passenger%1:18:00::,110403876
compact%1:06:01::,103079136,theme,rider%1:18:01::,110403876

computer%1:06:00::,103082979,action,computerize%2:36:00::,201718952
computer%1:06:00::,103082979,action,compute%2:31:00::,200637259
computer%1:06:00::,103082979,action,process%2:31:00::,200638837
computer%1:06:00::,103082979,action,work%2:41:05::,202373015
computer%1:06:00::,103082979,agent,programmer%1:18:00::,110481268
computer%1:06:00::,103082979,agent,worker%1:18:00::,109632518
computer%1:06:00::,103082979,theme,data%1:14:00::,108462320
computer%1:06:00::,103082979,theme,information%1:14:00::,108462320
computer%1:06:00::,103082979,theme,work%1:04:00::,100575741

counter%1:06:00::,103116530,action,support%2:35:00::,201217043
counter%1:06:00::,103116530,result,space%1:15:00::,108652970

cream%1:06:00::,103128519,action,moisturize%2:30:00::,200215800
cream%1:06:00::,103128519,action,soften%2:30:01::,200255389
cream%1:06:00::,103128519,action,soothe%2:29:00::,200063916
cream%1:06:00::,103128519,theme,skin%1:08:00::,105238282
cream%1:06:00::,103128519,beneficiary,skin%1:08:00::,105238282
cream%1:06:00::,103128519,beneficiary,person%1:03:00::,100007846
cream%1:06:00::,103128519,result,person%1:03:00::,100007846

crown%1:06:01::,103138669,action,crown%2:41:00::,202390949
crown%1:06:01::,103138669,experiencer,sovereign%1:18:00::,110628644
crown%1:06:01::,103138669,cause,sovereignty%1:26:02::,114443532

crutch%1:06:00::,103141823,action,support%2:35:00::,201217043
crutch%1:06:00::,103141823,action,aid%2:41:00::,202547586
crutch%1:06:00::,103141823,beneficiary,person%1:03:00::,100007846
crutch%1:06:00::,103141823,beneficiary,patient%1:18:00::,110405694
crutch%1:06:00::,103141823,beneficiary,cripple%1:18:00::,109978889
crutch%1:06:00::,103141823,cause,injury%1:26:00::,114285662

cup%1:06:00::,103147509,action,contain%2:42:13::,202700867
cup%1:06:00::,103147509,theme,liquid%1:27:04::,114940386
cup%1:06:00::,103147509,theme,drink%1:13:04::,107885223

curtain%1:06:00::,103151077,action,curtain%2:40:00::,202353537
curtain%1:06:00::,103151077,action,blind%2:30:01::,200312278
curtain%1:06:00::,103151077,action,hide%2:39:00::,202144835
curtain%1:06:00::,103151077,action,obstruct%2:39:04::,202145543
curtain%1:06:00::,103151077,action,darken%2:30:01::,200311559
curtain%1:06:00::,103151077,undergoer,window%1:06:00::,104587648
curtain%1:06:00::,103151077,result,privacy%1:07:00::,104622932
curtain%1:06:00::,103151077,result,privacy%1:26:02::,114416089
curtain%1:06:00::,103151077,result,dark%1:26:00::,113983515

desk%1:06:00::,103179701,action,work%2:41:05::,202373015
desk%1:06:00::,103179701,action,write%2:32:00::,200993014

sensor%1:06:00::,103180969,action,sense%2:39:02::,202155248
sensor%1:06:00::,103180969,action,detect%2:39:00::,202154508
sensor%1:06:00::,103180969,action,monitor%2:39:01::,202163626
sensor%1:06:00::,103180969,cause,signal%1:19:00::,111447319
sensor%1:06:00::,103180969,cause,stimulus%1:09:00::,105827684
sensor%1:06:00::,103180969,result,response%1:07:00::,105212808

dish%1:06:00::,103206908,action,contain%2:42:13::,202700867
dish%1:06:00::,103206908,action,serve%2:34:00::,201180351
dish%1:06:00::,103206908,theme,food%1:13:00::,107555863
dish%1:06:00::,103206908,theme,dish%1:13:00::,107557434

dish%1:06:01::,103207305,action,transmit%2:32:00::,200973056
dish%1:06:01::,103207305,action,receive%2:39:00::,202107248
dish%1:06:01::,103207305,action,scan%2:35:00::,201318659
dish%1:06:01::,103207305,theme,signal%1:19:00::,111447319

drawer%1:06:00::,103233905,action,store%2:40:02::,202282506

drill%1:06:00::,103239726,action,drill%2:35:00::,201443021
drill%1:06:00::,103239726,action,cut%2:35:10::,201610834
drill%1:06:00::,103239726,agent,worker%1:18:00::,109632518
drill%1:06:00::,103239726,result,hole%1:06:00::,103526198
drill%1:06:00::,103239726,result,hole%1:17:01::,109304465

drum%1:06:00::,103249569,action,drum%2:39:00::,202174830
drum%1:06:00::,103249569,agent,drummer%1:18:00::,110036929
drum%1:06:00::,103249569,result,drum%1:11:00::,107383475
drum%1:06:00::,103249569,result,beat%1:10:00::,107086518
drum%1:06:00::,103249569,result,music%1:10:00::,107020895

engine%1:06:00::,103287733,action,power%2:34:00::,201181559
engine%1:06:00::,103287733,result,power%1:19:00::,111453016
engine%1:06:00::,103287733,result,work%1:19:00::,111453420
engine%1:06:00::,103287733,cause,energy%1:19:00::,111452218

engine%1:06:01::,103684823,action,power%2:34:00::,201181559
engine%1:06:01::,103684823,result,power%1:19:00::,111453016
engine%1:06:01::,103684823,result,work%1:19:00::,111453420
engine%1:06:01::,103684823,result,motion%1:04:01::,100279835
engine%1:06:01::,103684823,theme,train%1:06:00::,104468005

envelope%1:06:01::,103291819,action,contain%2:42:13::,202700867
envelope%1:06:01::,103291819,action,protect%2:33:00::,201128193
envelope%1:06:01::,103291819,undergoer,letter%1:10:00::,106624161

equipment%1:06:00::,103294048,action,undertake%2:36:00::,201651293
equipment%1:06:00::,103294048,action,perform%2:36:00::,201712704
equipment%1:06:00::,103294048,result,work%1:04:00::,100575741

perfume%1:06:00::,103916031,action,perfume%2:39:00::,202126382
perfume%1:06:00::,103916031,action,perfume%2:29:00::,200043480
perfume%1:06:00::,103916031,theme,smell%1:09:02::,105713737
perfume%1:06:00::,103916031,result,fragrance%1:09:00::,105714466

smell%1:09:02::,105713737,action,connect%2:32:00::,201069190
smell%1:09:02::,105713737,theme,telephone%1:10:00::,106272290

fax%1:06:00::,103316105,action,fax%2:32:00::,201007676
fax%1:06:00::,103316105,action,telefax%2:32:00::,201007676
fax%1:06:00::,103316105,action,send%2:32:00::,201031256
fax%1:06:00::,103316105,action,copy%2:36:03::,201734929
fax%1:06:00::,103316105,theme,document%1:10:00::,106470073
fax%1:06:00::,103316105,result,copy%1:10:00::,106505517

ferry%1:06:00::,103329663,action,ferry%2:38:02::,201949674
ferry%1:06:00::,103329663,action,ferry%2:38:01::,201949435
ferry%1:06:00::,103329663,action,ferry%2:38:00::,201949218
ferry%1:06:00::,103329663,action,transport%2:38:00::,201953810
ferry%1:06:00::,103329663,theme,passenger%1:18:00::,110403876
ferry%1:06:00::,103329663,theme,cargo%1:06:00::,102964389
ferry%1:06:00::,103329663,location,water%1:17:00::,109225146
ferry%1:06:00::,103329663,agent,captain%1:18:03::,110298912
ferry%1:06:00::,103329663,result,transportation%1:04:00::,100315986

file%1:06:00::,103336839,action,file%2:35:00::,201387022
file%1:06:00::,103336839,action,smooth%2:35:01::,201245637
file%1:06:00::,103336839,action,shape%2:30:00::,200142191
file%1:06:00::,103336839,undergoer,surface%1:06:00::,104362025
file%1:06:00::,103336839,theme,shape%1:07:01::,104677514
file%1:06:00::,103336839,result,smoothness%1:07:00::,104947186
file%1:06:00::,103336839,result,shape%1:07:00::,105064037

file%1:06:01::,103337140,action,organize%2:30:00::,200404642
file%1:06:01::,103337140,action,store%2:40:02::,202282506
file%1:06:01::,103337140,action,file%2:32:00::,201001643
file%1:06:01::,103337140,undergoer,file%1:10:00::,106508816
file%1:06:01::,103337140,result,organization%1:04:01::,101008378
file%1:06:01::,103337140,result,organization%1:07:00::,104768657

film%1:06:01::,103338821,action,film%2:32:00::,201002740
film%1:06:01::,103338821,action,record%2:32:00::,201000214
film%1:06:01::,103338821,theme,picture%1:06:00::,103931044
film%1:06:01::,103338821,theme,photograph%1:06:00::,103925226
film%1:06:01::,103338821,result,negative%1:06:00::,103817191
film%1:06:01::,103338821,result,transparency%1:06:01::,103375956
film%1:06:01::,103338821,agent,photographer%1:18:00::,110426749

film%1:10:00::,106262567,action,film%2:32:00::,201002740
film%1:10:00::,106262567,action,film%2:36:00::,201711965
film%1:10:00::,106262567,action,record%2:32:00::,201000214
film%1:10:00::,106262567,theme,picture%1:06:00::,103931044
film%1:10:00::,106262567,result,film%1:10:01::,106613686
film%1:10:00::,106262567,agent,cinematographer%1:18:00::,109889539

filter%1:06:00::,103339643,action,filter%1:06:00::,103339643
filter%1:06:00::,103339643,action,purify%2:30:00::,200475183
filter%1:06:00::,103339643,theme,impurity%1:27:00::,114583670
filter%1:06:00::,103339643,result,filtrate%1:27:00::,114868564

flash%1:06:00::,103358172,instrument,camera%1:06:00::,102942699
flash%1:06:00::,103358172,agent,photographer%1:18:00::,110426749
flash%1:06:00::,103358172,action,flash%2:30:04::,200424869
flash%1:06:00::,103358172,action,light%2:30:00::,200291873
flash%1:06:00::,103358172,result,light%1:19:00::,111473954

furniture%1:06:00::,103405725,action,furnish%2:40:01::,202336483
furniture%1:06:00::,103405725,location,house%1:06:00::,103544360
furniture%1:06:00::,103405725,location,building%1:06:00::,102913152

accelerator%1:06:02::,102670683,action,accelerate%2:30:01::,200439343
accelerator%1:06:02::,102670683,agent,driver%1:18:00::,110034906
accelerator%1:06:02::,102670683,location,vehicle%1:06:00::,104524313
accelerator%1:06:02::,102670683,theme,speed%1:28:00::,115282696
accelerator%1:06:02::,102670683,theme,speed%1:07:00::,105058140
accelerator%1:06:02::,102670683,undergoer,throttle%1:06:00::,102670186
accelerator%1:06:02::,102670683,result,speed%1:07:00::,105058140

glass%1:06:00::,103438257,action,contain%2:42:13::,202700867
glass%1:06:00::,103438257,theme,drink%1:13:04::,107885223
glass%1:06:00::,103438257,theme,liquid%1:27:04::,114940386
glass%1:06:00::,103438257,beneficiary,drinker%1:18:01::,110034614

glass%1:06:02::,103688832,action,reflect%2:39:02::,202136754
glass%1:06:02::,103688832,theme,image%1:06:00::,103931044
glass%1:06:02::,103688832,result,reflection%1:06:00::,104068976
glass%1:06:02::,103688832,beneficiary,viewer%1:18:01::,110633450

glasses%1:06:00::,104272054,action,correct%2:29:04::,200079470
