# attributes we don't want it to have
fall VERB_DIRECTOBJECT VERB_INDIRECTOBJECT
go VERB_DIRECTOBJECT VERB_INDIRECTOBJECT
be VERB_PRESENT
slops NOUN_SINGULAR
snips NOUN_SINGULAR
spectacles NOUN_SINGULAR
stairs NOUN_SINGULAR
steps NOUN_SINGULAR
stocks NOUN_SINGULAR
ways NOUN_SINGULAR
shucks NOUN_SINGULAR
statics NOUN_SINGULAR
sops NOUN_SINGULAR
sweetbreads NOUN_SINGULAR
strings NOUN_SINGULAR
summercaters NOUN_SINGULAR
trumpets NOUN_SINGULAR
stockholdings NOUN_SINGULAR
shekels NOUN_SINGULAR
slews NOUN_SINGULAR
scours NOUN_SINGULAR
shirtsleeves NOUN_SINGULAR
taxis NOUN_SINGULAR
tenpins NOUN_SINGULAR
tails NOUN_SINGULAR
tabis NOUN_SINGULAR
threads NOUN_SINGULAR
therapeutics NOUN_SINGULAR
tidings NOUN_SINGULAR
tropics NOUN_SINGULAR
things NOUN_SINGULAR
teens NOUN_SINGULAR
twins NOUN_SINGULAR
trousers NOUN_SINGULAR
viewers NOUN_SINGULAR
velours NOUN_SINGULAR
vibes NOUN_SINGULAR
values NOUN_SINGULAR
vapors NOUN_SINGULAR
workings NOUN_SINGULAR
wings NOUN_SINGULAR
waders NOUN_SINGULAR
water_wings NOUN_SINGULAR
weeds NOUN_SINGULAR
winnings NOUN_SINGULAR
worldly_possessions NOUN_SINGULAR
worldly_goods NOUN_SINGULAR
worldly_belongings NOUN_SINGULAR
yips NOUN_SINGULAR
panties NOUN_SINGULAR
cosmetics NOUN_SINGULAR
computers NOUN_SINGULAR


# the dictionary has entries we dont want recognized
a NOUN ADJECTIVE ADVERB VERB PREPOSITION
A NOUN ADJECTIVE ADVERB VERB PREPOSITION
an NOUN ADJECTIVE ADVERB PREPOSITION VERB
AN NOUN ADJECTIVE ADVERB PREPOSITION VERB
I NOUN ADJECTIVE ADVERB VERB PREPOSITION 
to ADVERB
at NOUN
near VERB
around ADJECTIVE
above NOUN
by NOUN
on NOUN  ADVERB
me NOUN
go_home VERB
during VERB 
in NOUN
til NOUN
head_home VERB
b NOUN
c NOUN
d NOUN
e NOUN
f NOUN
g NOUN
h NOUN
j NOUN
k NOUN
l NOUN
m NOUN
n NOUN
o NOUN
p NOUN
q NOUN
r NOUN
s NOUN
t NOUN
u NOUN
v NOUN
q NOUN
x NOUN
y NOUN
z NOUN


